PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA128406954	Weight gain	"Weight increased",		MeSH:D015430(Weight Gain),MedDRA:10063441(Ponderal increased),NDFRT:N0000011140(Weight Gain [Disease/Finding]),SnoMedCT:161831008(Weight increasing),SnoMedCT:262286000(Weight increased),SnoMedCT:8943002(Weight gain finding),UMLS:C0043094(C0043094)
PA128406957	5-fluorouracil associated toxicity			
PA128407009	Mycobacterium Infections	"Buruli Ulcer","Infection due to mycobacteria","Mycobacterial disease NOS","Mycobacterial infections","Mycobacteriosis",		MeSH:D009164(Mycobacterium Infections),MedDRA:10062207(Mycobacterial infection),NDFRT:N0000002071(Mycobacterium Infections [Disease/Finding]),SnoMedCT:186345003(Mycobacterial disease NOS),SnoMedCT:88415009(Mycobacteriosis),UMLS:C0026918(C0026918)
PA128407012	cancer or viral infections			
PA131285571	aspirin-induced asthma	"Aspirin-induced asthma",		NDFRT:N0000181214(Asthma, Aspirin-Induced [Disease/Finding]),SnoMedCT:407674008(Aspirin-induced asthma),UMLS:C1319853(C1319853)
PA133888799	Organ Transplantation			MeSH:D016377(Organ Transplantation)
PA134850479	trimethylaminuria	"Fish odor syndrome","Trimethylaminuria",		MedDRA:10068233(Trimethylaminuria),SnoMedCT:237959005(Trimethylaminuria),UMLS:C0342739(C0342739)
PA134850491	Transplantation	"Grafting, NOS","Transplant procedure","Transplantation - action","Tx - Transplant",		MeSH:D014180(Transplantation),MedDRA:10057677(Transplant),SnoMedCT:129406001(Transplantation - action),SnoMedCT:263903005(Transplant),SnoMedCT:77465005(Transplantation),UMLS:C0040732(C0040732)
PA134850558	Macular Degeneration	"Age Related Maculopathies","Age Related Maculopathy","Age-Related Macular Degeneration","Age-Related Maculopathies","Age-Related Maculopathy","Degeneration, Macular","Degenerations, Macular","Degenerative disorder of macula","Macular Degeneration","Macular Degenerations","Macular Edema","Macular edema","Macular oedema","Maculopathies, Age Related","Maculopathies, Age-Related","Maculopathy, Age Related","Maculopathy, Age-Related",		MeSH:D008268(Macular Degeneration),MedDRA:10012148(Degeneration macular),NDFRT:N0000001918(Macular Degeneration [Disease/Finding]),SnoMedCT:422338006(Degenerative disorder of macula),UMLS:C0024437(C0024437)
PA135057241	Proarrhythmia			MedDRA:10036765(Proarrhythmia),UMLS:C0861148(Proarrhythmia)
PA136400566	Severe Acute Respiratory Syndrome	"SARS","SARS-CoV infection","Severe acute respiratory syndrome",		MeSH:D045169(Severe Acute Respiratory Syndrome),MedDRA:10061986(SARS),NDFRT:N0000010956(Severe Acute Respiratory Syndrome [Disease/Finding]),SnoMedCT:398447004(Severe acute respiratory syndrome),UMLS:C1175175(C1175175)
PA142188754	Feingold Syndrome			
PA142189041	Roberts-SC phocomelia syndrome	"Hypomelia hypotrichosis facial hemangioma syndrome","Hypomelia-hypotrichosis-facial haemangioma syndrome","Hypomelia-hypotrichosis-facial hemangioma syndrome","Pseudothalidomide syndrome","Robert's syndrome","Roberts Syndrome",		SnoMedCT:48718006(Roberts-SC phocomelia syndrome),UMLS:C0392475(C0392475)
PA142297362	Costello Syndrome	"Costello syndrome",		MedDRA:10067380(Costello syndrome),NDFRT:N0000181164(Costello Syndrome [Disease/Finding]),SnoMedCT:309776008(Costello syndrome),UMLS:C0587248(C0587248)
PA143414733	Meckel syndrome (MKS)			
PA143488504	Vascular Resistance	"Capillary Resistance","Systemic Vascular Resistance","Vascular resistance, function",		MeSH:D014655(Vascular Resistance),MedDRA:10047098(Vascular resistance),SnoMedCT:88619007(Vascular resistance, function),UMLS:C0042380(C0042380)
PA144997875	Hereditary Hypophosphatemic Rickets with Hypercalciuria(HHRH)			
PA145007152	Dowling-Degos Disease(DDD)			
PA145007155	Martsolf Syndrome			
PA145007163	SRS-A	"SRS-A of anaphylaxis","Silver-Russell Syndrome(SRS)",		MeSH:D013189(SRS-A),NDFRT:N0000171041(SRS-A [Chemical/Ingredient]),SnoMedCT:34745001(Slow reacting substance-A of anaphylaxis),UMLS:C0038091(C0038091)
PA145007166	Multiple synostosis syndrome	"Multiple-Synostosis Syndrome",		SnoMedCT:62628008(Multiple synostosis syndrome),UMLS:C0175700(C0175700)
PA145007173	Mental Retardation, X-Linked, Nonsyndromic			
PA145007176	CHARGE syndrome			MedDRA:10064063(CHARGE syndrome),NDFRT:N0000182178(CHARGE Syndrome [Disease/Finding]),UMLS:C1535927(CHARGE syndrome)
