title	publisher	urls	eIssn	pIssn	subjects	society	empty
AAP Grand Rounds	American Academy of Pediatrics 	http://aapgrandrounds.aappublications.org 	Unknown	1099-6605 	Clinical Medicine Medicine Pediatrics 	American Academy of Pediatrics 	
AAP News	American Academy of Pediatrics 	http://aapnews.aappublications.org 	1556-3332 	1073-0397 	Medicine Pediatrics 	American Academy of Pediatrics 	
Accounting History	SAGE Publications 	http://ach.sagepub.com 	1749-3374 	1032-3732 	Unknown	Unknown	
Acta Biochimica et Biophysica Sinica	Oxford University Press 	http://abbs.oxfordjournals.org 	1745-7270 	1672-9145 	Unknown	Institute of Biochemistry and Cell Biology, CAS 	
Acta Radiologica	Royal Society of Medicine Press 	http://ar.rsmjournals.com 	1600-0455 	0284-1851 	Unknown	Nordic Society of Medical Radiology 	
Acta Radiologica Short Reports	Royal Society of Medicine Press 	http://ar-sr.rsmjournals.com 	2047-9816 	Unknown	Unknown	Royal Society of Medicine Press 	
Acta Sociologica	SAGE Publications 	http://asj.sagepub.com 	1502-3869 	0001-6993 	Unknown	Scandinavian Sociological Association 	
Action Research	SAGE Publications 	http://arj.sagepub.com 	1741-2617 	1476-7503 	Unknown	Unknown	
Active Learning in Higher Education	SAGE Publications 	http://alh.sagepub.com 	1741-2625 	1469-7874 	Unknown	Institute for Learning and Teaching in Higher Education (ILT) 	
Acupuncture in Medicine	BMJ Publishing Group Ltd 	http://aim.bmj.com 	1759-9873 	0964-5284 	Unknown	BMJ Publishing Group Ltd 	
Adaptation	Oxford University Press 	http://adaptation.oxfordjournals.org 	1755-0645 	1755-0637 	Unknown	Oxford University Press 	
Adaptive Behavior	SAGE Publications 	http://adb.sagepub.com 	1741-2633 	1059-7123 	Unknown	International Society of Adaptive Behavior 	
Administration & Society	SAGE Publications 	http://aas.sagepub.com 	1552-3039 	0095-3997 	Unknown	Unknown	
Administrative Science Quarterly	SAGE Publications 	http://asq.sagepub.com 	Unknown	0001-8392 	Unknown	Johnson Graduate School, Cornell University 	
Adoption & Fostering	SAGE Publications 	http://aaf.sagepub.com 	1740-469X 	0308-5759 	Unknown	British Association for Adoption and Fostering 	
Adult Education Quarterly	SAGE Publications 	http://aeq.sagepub.com 	1552-3047 	0741-7136 	Unknown	American Association for Adult and Continuing Education 	
Adult Learning	Unknown	http://alx.sagepub.com 	Unknown	1045-1595 	Unknown	Unknown	
Advances in Dental Research	SAGE Publications 	http://adr.sagepub.com 	1544-0737 	0895-9374 	Unknown	International & American Associations for Dental Research 	
Advances in Developing Human Resources	SAGE Publications 	http://adh.sagepub.com 	1552-3055 	1523-4223 	Unknown	Academy of Human Resource Development 	
Advances in Nutrition: An International Review Journal	The American Society for Nutrition  	http://advances.nutrition.org 	2156-5376 	Unknown	Unknown	The American Society for Nutrition  	
Advances in Physiology Education	The American Physiological Society 	http://advan.physiology.org 	1522-1229 	1043-4046 	Physiology 	The American Physiological Society 	
Advances in Psychiatric Treatment	The Royal College of Psychiatrists 	http://apt.rcpsych.org 	1472-1481 	1355-5146 	Medicine Psychiatry Psychology 	The Royal College of Psychiatrists 	
Aesthetic Surgery Journal	SAGE Publications 	http://aes.sagepub.com 	1527-330X 	1090-820X 	Unknown	American Society for Aesthetic Plastic Surgery 	
Affilia	SAGE Publications 	http://aff.sagepub.com 	1552-3020 	0886-1099 	Unknown	Unknown	
African Affairs	Oxford University Press 	http://afraf.oxfordjournals.org 	1468-2621 	0001-9909 	Economic Science Political Science Sociology 	Unknown	
Age and Ageing	Oxford University Press 	http://ageing.oxfordjournals.org 	1468-2834 	0002-0729 	Geriatric Medicine Medicine 	Unknown	
Agrarian South: Journal of Political Economy	SAGE Publications India Pvt Ltd 	http://ags.sagepub.com 	Unknown	2277-9760 	Unknown	Centre for Agrarian Research and Educaion for South (CARES) 	
Alcohol and Alcoholism	Oxford University Press 	http://alcalc.oxfordjournals.org 	1464-3502 	0735-0414 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Clinical Medicine Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Respiratory Medicine Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
Alternatives: Global, Local, Political	SAGE Publications 	http://alt.sagepub.com 	Unknown	0304-3754 	Unknown	Unknown	
American Behavioral Scientist	SAGE Publications 	http://abs.sagepub.com 	1552-3381 	0002-7642 	Unknown	Unknown	
American Educational Research Journal	SAGE Publications 	http://aer.sagepub.com 	1935-1011 	0002-8312 	Unknown	American Educational Research Association  	
American Journal of Agricultural Economics	Oxford University Press 	http://ajae.oxfordjournals.org 	1467-8276 	0002-9092 	Unknown	Agricultural and Applied Economics Association 	
American Journal of Alzheimer's Disease and Other Dementias	SAGE Publications 	http://aja.sagepub.com 	1938-2731 	1533-3175 	Unknown	Unknown	
American Journal of Audiology	American Speech-Language-Hearing Association 	http://aja.asha.org 	1558-9137 	1059-0889 	Unknown	American Speech-Language-Hearing Association 	
American Journal of Botany	Botanical Society of America 	http://www.amjbot.org 	1537-2197 	0002-9122 	Agriculture Biochemistry Cell Biology Chemistry Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Genetics Medicine Microbiology Nutrition Oceanography Oncology Physics Physiology Plant Biology Population Biology Psychiatry Radiology Sexual Medicine Statistics 	Botanical Society of America 	
The American Journal of Clinical Nutrition	The American Society for Nutrition 	http://ajcn.nutrition.org 	1938-3207 	0002-9165 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Atmospheric Science Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dentistry and Oral Medicine Dermatology Developmental Biology Medicine in Developing Countries Earth Sciences Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Geriatric Medicine Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oceanography Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	The American Society for Nutrition 	
American Journal of Clinical Pathology	American Society for Clinical Pathology 	http://ajcp.ascpjournals.org 	1943-7722 	0002-9173 	Unknown	American Society for Clinical Pathology 	
American Journal of Critical Care	American Association of Critical-Care Nurses 	http://ajcc.aacnjournals.org 	1937-710X 	1062-3264 	Unknown	Unknown	
American Journal of Enology and Viticulture	American Society for Enology and Viticulture  	http://www.ajevonline.org 	Unknown	0002-9254 	Unknown	American Society for Enology and Viticulture 	
American Journal of Epidemiology	Oxford University Press 	http://aje.oxfordjournals.org 	1476-6256 	0002-9262 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Atmospheric Science Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Medicine in Developing Countries Earth Sciences Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Occupational Health Oceanography Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Prison Medicine Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
American Journal of Evaluation	SAGE Publications  	http://aje.sagepub.com 	1557-0878 	1098-2140 	Unknown	American Evaluation Association 	
American Journal of Health-System Pharmacy	American Society of Health-System Pharmacists 	http://www.ajhp.org 	1535-2900 	1079-2082 	Unknown	American Society of Health-System Pharmacists 	
American Journal of Hospice and Palliative Medicine	SAGE Publications 	http://ajh.sagepub.com 	1938-2715 	1049-9091 	Unknown	Unknown	
American Journal of Hypertension	Oxford University Press 	http://ajh.oxfordjournals.org 	1941-7225 	0895-7061 	Unknown	American Journal of Hypertension, Ltd. 	
American Journal of Lifestyle Medicine	SAGE Publications 	http://ajl.sagepub.com 	1559-8284 	1559-8276 	Unknown	Unknown	
American Journal of Medical Quality	SAGE Publications  	http://ajm.sagepub.com 	1555-824X 	1062-8606 	Unknown	American College of Medical Quality 	
American Journal of Men's Health	SAGE Publications 	http://jmh.sagepub.com 	1557-9891 	1557-9883 	Unknown	Unknown	
American Journal of Neuroradiology	American Society of Neuroradiology 	http://www.ajnr.org 	1936-959X 	0195-6108 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dentistry and Oral Medicine Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Statistics Surgery Travel Medicine Virology Women's Health 	American Society of Neuroradiology (ASNR) 	
American Journal of Occupational Therapy	American Occupational Therapy Association/AOTA Press 	http://ajot.aotapress.net 	1943-7676 	0272-9490 	Unknown	American  Occupational Therapy Association/AOTA Press 	
American Journal of Physiology - Cell Physiology	The American Physiological Society 	http://ajpcell.physiology.org 	1522-1563 	0363-6143 	Accident and Emergency Medicine Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Immunology Medicine Microbiology Neuroscience Nutrition Oncology Physics Physiology Radiology Rehabilitation Medicine Respiratory Medicine Rheumatology Sexual Medicine Signal Transduction Sports and Exercise Medicine Surgery Virology Women's Health 	The American Physiological Society 	
American Journal of Physiology - Endocrinology and Metabolism	The American Physiological Society 	http://ajpendo.physiology.org 	1522-1555 	0193-1849 	Accident and Emergency Medicine Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Developmental Biology Endocrinology Gastroenterology Genetics Immunology Infectious Diseases Medicine Microbiology Neuroscience Nutrition Physics Physiology Psychiatry Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sports and Exercise Medicine Surgery Women's Health 	The American Physiological Society 	
American Journal of Physiology - Gastrointestinal and Liver Physiology	The American Physiological Society 	http://ajpgi.physiology.org 	1522-1547 	0193-1857 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Developmental Biology Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Immunology Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pharmacology Physics Physiology Radiology Respiratory Medicine Surgery Virology 	The American Physiological Society 	
American Journal of Physiology - Heart and Circulatory Physiology	The American Physiological Society 	http://ajpheart.physiology.org 	1522-1539 	0363-6135 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Hematology Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sports and Exercise Medicine Statistics Surgery Women's Health 	The American Physiological Society 	
American Journal of Physiology - Lung Cellular and Molecular Physiology	The American Physiological Society 	http://ajplung.physiology.org 	1522-1504 	1040-0605 	Accident and Emergency Medicine Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Developmental Biology Endocrinology Evidence Based Practice Gastroenterology Genetics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Radiology Respiratory Medicine Surgery Virology 	The American Physiological Society 	
American Journal of Physiology - Regulatory, Integrative and Comparative Physiology	The American Physiological Society 	http://ajpregu.physiology.org 	1522-1490 	0363-6119 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Endocrinology Gastroenterology Genetics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Sexual Medicine Sports and Exercise Medicine Surgery Women's Health 	The American Physiological Society 	
American Journal of Physiology - Renal Physiology	The American Physiological Society 	http://ajprenal.physiology.org 	1522-1466 	1931-857X 	Medicine Physiology Renal and Urologic Medicine 	The American Physiological Society 	
American Journal of Physiology -- Legacy Content	The American Physiological Society 	http://ajplegacy.physiology.org 	Unknown	0002-9513 	Unknown	The American Physiological Society 	
American Journal of Respiratory and Critical Care Medicine	American Thoracic Society 	http://ajrccm.atsjournals.org 	1535-4970 	1073-449X 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Atmospheric Science Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Critical Care / Intensive Care Dermatology Developmental Biology Earth Sciences Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Occupational Health Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
American Journal of Respiratory Cell and Molecular Biology	American Thoracic Society 	http://ajrcmb.atsjournals.org 	1535-4989 	1044-1549 	Accident and Emergency Medicine Atmospheric Science Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Radiology Respiratory Medicine Rheumatology Sexual Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Unknown	
American Journal of Roentgenology	American Roentgen Ray Society 	http://www.ajronline.org 	1546-3141 	0361-803X 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Critical Care / Intensive Care Dentistry and Oral Medicine Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	American Roentgen Ray Society 	
American Journal of Science	American Journal of Science 	http://www.ajsonline.org 	1945-452X 	0002-9599 	Unknown	http://www.geology.yale.edu/journals/Ajs.html 	
American Journal of Speech-Language Pathology	American Speech-Language-Hearing Association 	http://ajslp.asha.org 	1558-9110 	1058-0360 	Unknown	American Speech-Language-Hearing Association 	
The American Journal of Sports Medicine	Sage Publications, Inc. 	http://ajs.sagepub.com 	1552-3365 	0363-5465 	Medicine Rehabilitation Medicine Sports and Exercise Medicine 	The American Orthopaedic Society for Sports Medicine 	
The American Journal of Tropical Medicine and Hygiene	American Society of Tropical Medicine and Hygiene (ASTMH) 	http://www.ajtmh.org 	Unknown	0002-9637 	Unknown	American Society of Tropical Medicine and Hygiene (ASTMH) 	
American Law and Economics Review	Oxford University Press 	http://aler.oxfordjournals.org 	1465-7260 	1465-7252 	Economic Science Political Science 	Unknown	
American Literary History	Oxford University Press 	http://alh.oxfordjournals.org 	1468-4365 	0896-7148 	Unknown	Unknown	
American Literary Scholarship	Duke University Press 	http://als.dukejournals.org 	1527-2125 	0065-9142 	Unknown	American Literature Section of the Modern Languages Association 	
American Literature	Duke University Press 	http://americanliterature.dukejournals.org 	1527-2117 	0002-9831 	Unknown	Unknown	
American Orthoptic Journal	University of Wisconsin Press 	http://aoj.uwpress.org 	1553-4448 	0065-955X 	Unknown	American Association of Certified Orthoptists 	
American Politics Research	SAGE Publications 	http://apr.sagepub.com 	1552-3373 	1532-673X 	Unknown	Unknown	
The American Review of Public Administration	SAGE Publications 	http://arp.sagepub.com 	1552-3357 	0275-0740 	Unknown	American Society for Public Administration 	
American Society of Hematology Self-Assessment Program	American Society of Hematology 	http://ash-sap.hematologylibrary.org 	Unknown	Unknown	Unknown	American Society of Hematology 	
American Sociological Review	SAGE Publications 	http://asr.sagepub.com 	1939-8271 	0003-1224 	Unknown	American Sociological Association 	
American Speech	Duke University Press 	http://americanspeech.dukejournals.org 	1527-2133 	0003-1283 	Unknown	American Dialect Society 	
Analysis	Oxford University Press 	http://analysis.oxfordjournals.org 	1467-8284 	0003-2638 	Unknown	The Analysis Trust 	
Anesthesia & Analgesia	Lippincott Williams & Wilkins 	http://www.anesthesia-analgesia.org 	1526-7598 	0003-2999 	Accident and Emergency Medicine Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Complementary Medicine Computer Science Critical Care / Intensive Care Dentistry and Oral Medicine Dermatology Developmental Biology Earth Sciences Ecology Economic Science Endocrinology Evidence Based Practice Gastroenterology Genetics Geriatric Medicine Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	International Anesthesia Research Society 	
Angiology	SAGE Publications 	http://ang.sagepub.com 	Unknown	0003-3197 	Unknown	Association with American Society of Angiology  	
Animation	SAGE Publications 	http://anm.sagepub.com 	1746-8485 	1746-8477 	Unknown	Unknown	
Annals of Botany	Oxford University Press 	http://aob.oxfordjournals.org 	1095-8290 	0305-7364 	Agriculture Plant Biology 	Unknown	
