"Full Title","ISSN","Product ID","Change History"
"AASRI Procedia","22126716","08811",
"Academic Pediatrics","18762859","07802","Formerly known as Ambulatory Pediatrics"
"Academic Radiology","10766332","13351",
"Accident Analysis & Prevention","00014575","00336",
"Accounting Forum","01559982","04069",
"Accounting, Organizations and Society","03613682","00486",
"Acta Agronomica Sinica","18752780","08658",
"Acta Anaesthesiologica Taiwanica","18754597","08659",
"Acta Astronautica","00945765","00310",
"Acta Automatica Sinica","18741029","05605",
"Acta Biomaterialia","17427061","04067",
"Acta Ecologica Sinica","18722032","08574",
"Acta Haematologica Polonica","00015814","11009",
"Acta Histochemica","00651281","10000",
"Acta Materialia","13596454","00221","Formerly part of Acta Metallurgica et Materialia; Incorporating Nanostructured Materials"
"Acta Mathematica Scientia","02529602","05601",
"Acta Mechanica Solida Sinica","08949166","05618",
"Acta Oecologica","1146609X","09000",
"Acta Otorrinolaringologica (English Edition)","21735735","15795",
"Acta Otorrinolaringológica Española","00016519","15720",
"Acta Pharmaceutica Sinica B","22113835","08775",
"Acta Psychologica","00016918","05251",
"Acta Tropica","0001706X","05083",
"Actas Dermo-Sifiliográficas","00017310","15717",
"Actas Dermo-Sifiliográficas (English Edition)","15782190","15768",
"Actas Urológicas Españolas","02104806","15762",
"Actas Urológicas Españolas (English Edition)","21735786","15794",
"Actualités Pharmaceutiques","05153700","09076",
"Acupuncture and Related Therapies","22117660","10074",
"Ad Hoc Networks","15708705","05481",
"Addictive Behaviors","03064603","00471",
"Additives for Polymers","03063747","02061",
"Advanced Drug Delivery Reviews","0169409X","05000",
"Advanced Engineering Informatics","14740346","02007","Formerly known as Artificial Intelligence in Engineering"
"Advanced Powder Technology","09218831","08668",
"Advances in Accounting","08826110","05609","Incorporating Advances in International Accounting"
"Advances in Anesthesia","07376146","13139",
"Advances in Applied Mathematics","01968858","12001",
"Advances in Biological Regulation","22124926","00427","Formerly know as Advances in Enzyme Regulation"
"Advances in Chronic Kidney Disease","15485595","13265","Formerly known as Advances in Renal Replacement Therapy"
"Advances in Colloid and Interface Science","00018686","05136",
"Advances in Engineering Software","09659978","02000","Formerly known as Advances in Engineering Software and Workstations; Incorporating Computing Systems in Engineering"
"Advances in Life Course Research","10402608","05617",
"Advances in Mathematics","00018708","12005",
"Advances in Pediatrics","00653101","13279",
"Advances in Space Research","02731177","00644",
"Advances in Surgery","00653411","13142",
"Advances in Water Resources","03091708","02001",
"Aeolian Research","18759637","08639",
"Aerospace Science and Technology","12709638","09001",
"AEU - International Journal of Electronics and Communications","14348411","10029",
"African Journal of Emergency Medicine","2211419X","08770",
"African Journal of Urology","11105704","10114",
"Ageing Research Reviews","15681637","05464",
"Aggression and Violent Behavior","13591789","01001",
"Agricultural and Forest Meteorology","01681923","05320","Formerly known as Agricultural Meteorology"
"Agricultural Systems","0308521X","02002",
"Agricultural Water Management","03783774","05085",
"Agriculture and Agricultural Science Procedia","22107843","08729",
"Agriculture, Ecosystems & Environment","01678809","05086","Incorporating Agriculture and Environment and Agro-Ecosystems"
"Ain Shams Engineering Journal","20904479","08727",
"Air Medical Journal","1067991X","13163","Formerly known as Journal of Air Medical Transport"
"Alcohol","07418329","07500",
"Alexandria Engineering Journal","11100168","08731",
"Alexandria Journal of Medicine","20905068","08760",
"Algal Research","22119264","08794",
"Allergologia et Immunopathologia","03010546","15754",
"ALTER - European Journal of Disability Research / Revue Européenne de Recherche sur le Handicap","18750672","15851",
"Alzheimer's & Dementia","15525260","13371",
"American Heart Journal","00028703","13240",
"The American Journal of Cardiology","00029149","07586",
"The American Journal of Emergency Medicine","07356757","13226",
"The American Journal of Geriatric Pharmacotherapy","15435946","08551",
"The American Journal of Geriatric Psychiatry","10647481","14116",
"The American Journal of Human Genetics","00029297","07813",
"American Journal of Infection Control","01966553","13170",
"American Journal of Kidney Diseases","02726386","13229",
"The American Journal of Medicine","00029343","07587",
"The American Journal of Medicine Supplements","15482766","07777",
"American Journal of Obstetrics and Gynecology","00029378","13246",
"American Journal of Ophthalmology","00029394","07582",
"American Journal of Orthodontics and Dentofacial Orthopedics","08895406","13027","Formerly known as American Journal of Orthodontics"
"American Journal of Otolaryngology","01960709","13046",
"The American Journal of Pathology","00029440","14039",
"American Journal of Preventive Medicine","07493797","07689",
"The American Journal of Surgery","00029610","07588",
"Anaerobe","10759964","12695",
"Anaesthesia & Intensive Care Medicine","14720299","04263",
"Anales de Cirugía Vascular","11302542","15704",
"Anales de Pediatría","16954033","15711",
"Anales de Pediatria Continuada","16962818","15755",
"Analytica Chimica Acta","00032670","05137",
"Analytical Biochemistry","00032697","12002",
"Anesthesiology Clinics","19322275","13047","Formerly known as Anesthesiology Clinics of North America"
"Angiología","00033170","15767",
"Animal Behaviour","00033472","12602","Formerly known as The British Journal of Animal Behaviour"
"Animal Feed Science and Technology","03778401","05088",
"Animal Reproduction Science","03784320","05089",
"Annales de Cardiologie et d'Angéiologie","00033928","09082",
"Annales de Chirurgie Plastique Esthétique","02941260","09084",
"Annales de Chirurgie Vasculaire","02992213","15853",
"Annales de Dermatologie et de Vénéréologie","01519638","15170",
"Annales d'Endocrinologie","00034266","15180",
"Annales Françaises d'Anesthésie et de Réanimation","07507658","09011",
"Annales françaises d’Oto-rhino-laryngologie et de Pathologie Cervico-faciale","18797261","15230","Formerly known as Annales d'Otolaryngologie et de Chirurgie Cervico-faciale"
"Annales de l'Institut Henri Poincare (C) Non Linear Analysis","02941449","09006",
"Annales Médico-psychologiques, revue psychiatrique","00034487","09107",
"Annales de Paléontologie","07533969","09008",
"Annales de Pathologie","02426498","15130",
"Annales Pharmaceutiques Françaises","00034509","15260",
"Annals of Agricultural Sciences","05701783","08778",
"Annals of Allergy, Asthma & Immunology","10811206","14037",
"Annals of Anatomy - Anatomischer Anzeiger","09409602","10030",
"Annals of Diagnostic Pathology","10929134","13057",
"Annals of Emergency Medicine","01960644","13239","Formerly known as Journal of the American College of Emergency Physicians"
"Annals of Epidemiology","10472797","07601",
"Annals of the ICRP","01466453","00442","Formerly known as Annals of the ICRP/ICRP Publication"
"Annals of Nuclear Energy","03064549","00217","Formerly known as Annals of Nuclear Science and Engineering"
"Annals of Physical and Rehabilitation Medicine","18770657","09009","Formerly known as Annales de Réadaptation et de Médicine Physique"
"Annals of Physics","00034916","12006",
"Annals of Pure and Applied Logic","01680072","05253","Formerly known as Annals of Mathematical Logic"
"The Annals of Thoracic Surgery","00034975","07610",
"Annals of Tourism Research","01607383","00689",
"Annals of Vascular Surgery","08905096","13421",
"Annual Reviews in Control","13675788","00429","Formerly known as Annual Review in Automatic Programming"
"L'Anthropologie","00035521","09087",
"Antiviral Research","01663542","05001",
"AORN Journal","00012092","14032",
"APCBEE Procedia","22126708","08815",
"Apollo Medicine","09760016","10091",
"Appetite","01956663","12633",
"Applied Acoustics","0003682X","02003",
"Applied Animal Behaviour Science","01681591","05090","Formerly known as Applied Animal Ethology"
"Applied Catalysis A: General","0926860X","05139","Formerly part of Applied Catalysis"
"Applied Catalysis B: Environmental","09263373","05140","Formerly part of Applied Catalysis"
"Applied Clay Science","01691317","05321",
"Applied and Computational Harmonic Analysis","10635203","12003",
"Applied Computing and Informatics","22108327","08742",
"Applied Energy","03062619","02004",
"Applied Ergonomics","00036870","03001",
"Applied Geochemistry","08832927","00768",
"Applied Geography","01436228","03002",
"Applied Mathematical Modelling","0307904X","07604",
"Applied Mathematics and Computation","00963003","07612",
"Applied Mathematics Letters","08939659","00843",
"Applied Numerical Mathematics","01689274","05254",
"Applied Nursing Research","08971897","13158",
"Applied Ocean Research","01411187","02005",
"Applied Radiation and Isotopes","09698043","00228","Formerly known as International Journal of Radiation Applications and Instrumentation. Part A. Applied Radiation and Isotopes"
"Applied Soft Computing","15684946","05434",
"Applied Soil Ecology","09291393","05091",
"Applied Surface Science","01694332","05191","Formerly known as Applications of Surface Science"
"Applied Thermal Engineering","13594311","00630","Formerly known as Heat Recovery Systems and CHP"
"Applied & Translational Genomics","22120661","08798",
"Apunts. Medicina de l’Esport","18866581","15764",
"Aquacultural Engineering","01448609","02006",
"Aquaculture","00448486","05092","Incorporating Annual Review of Fish Diseases"
"Aquatic Botany","03043770","05093",
"Aquatic Toxicology","0166445X","05094",
"Arab Journal of Gastroenterology","16871979","05622",
"Arab Journal of Mathematical Sciences","13195166","08748",
"Arab Journal of Urology","2090598X","08763",
"Arabian Journal of Chemistry","18785352","08695",
"Archaeology, Ethnology and Anthropology of Eurasia","15630110","08638",
"Archives of Biochemistry and Biophysics","00039861","12007",
"Archives of Cardiovascular Diseases","18752136","15568",
"Archives of Cardiovascular Diseases Supplements","18786480","15863",
"Archives of Civil and Mechanical Engineering","16449665","11005",
"Archives of Gerontology and Geriatrics","01674943","08003",
"Archives des Maladies du Cœur et des Vaisseaux - Pratique","1261694X","15852",
"Archives des Maladies Professionnelles et de l’Environnement","17758785","15360",
"Archives of Medical Research","01884409","07608",
"Archives of Oral Biology","00039969","00203",
"Archives de Pédiatrie","0929693X","09014",
"Archives of Physical Medicine and Rehabilitation","00039993","13310",
"Archives of Psychiatric Nursing","08839417","13191",
"Archivos de Bronconeumología","03002896","15701",
"Archivos de Bronconeumología (English Edition)","15792129","15700",
"Archivos de la Sociedad Española de Oftalmología","03656691","15765",
"Archivos de la Sociedad Española de Oftalmología (English Edition)","21735794","15797",
"Artery Research","18729312","06071",
"Arthropod Structure & Development","14678039","00356","Formerly known as International Journal of Insect Morphology and Embryology"
"Arthroscopy: the Journal of Arthroscopic & Related Surgery","07498063","13049",
"Arthroscopy Techniques","22126287","14121",
"Artificial Intelligence","00043702","05255",
"Artificial Intelligence in Medicine","09333657","05095",
"The Arts in Psychotherapy","01974556","00833","Formerly known as Art Psychotherapy"
"Asian Journal of Psychiatry","18762018","06077",
"The Asian Journal of Shipping and Logistics","20925212","10107",
"Asian Journal of Surgery","10159584","08586",
"Asian Nursing Research","19761317","08651",
"Asian Pacific Journal of Tropical Biomedicine","22211691","08780",
"Asian Pacific Journal of Tropical Disease","22221808","10087",
"Asian Pacific Journal of Tropical Medicine","19957645","08705",
"Assessing Writing","10752935","07449",
"Astronomy and Computing","22131337","18011",
"Astroparticle Physics","09276505","05192",
"Atención Primaria","02126567","15721",
"Atherosclerosis","00219150","08004","Formerly known as Journal of Atherosclerosis Research"
"Atherosclerosis Supplements","15675688","08140",
"Atlas of the Oral and Maxillofacial Surgery Clinics","10613315","13032",
"Atmospheric Environment","13522310","00246","Incorporating Atmospheric Environment. Part A. General Topics and Atmospheric Environment. Part B. Urban Atmosphere"
"Atmospheric Research","01698095","05322",
"Atomic Data and Nuclear Data Tables","0092640X","12004",
"Auris Nasus Larynx","03858146","08060",
"Australasian Emergency Nursing Journal","15746267","04082","Formerly known as Australian Emergency Nursing Journal"
"Australasian Marketing Journal (AMJ)","14413582","04120","Formerly known as Asia-Australia Marketing Journal"
"Australian Critical Care","10367314","04101","Formerly known as Confederation of Australian Critical Care Nurses Journal"
"Autoimmunity Reviews","15689972","05467",
"Automatica","00051098","00270",
"Automation in Construction","09265805","05256",
"Autonomic Neuroscience","15660702","05062","Formerly known as Journal of the Autonomic Nervous System"
