pIssn	eIssn	title	urls	subject	isStm	society	emptyField
0001-3072	1467-6281	ABACUS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281	Business, Economics, Finance and Accounting    		Pacioli Society	 
1086-4822	1536-0687	ABOUT CAMPUS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687	Education		College Student Educators International	 
1069-6563	1553-2712	ACADEMIC EMERGENCY MEDICINE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712	Medical, Veterinary and Health Sciences	STM Collection	Society for Academic Emergency Medicine (SAEM)	 
0810-5391	1467-629X	ACCOUNTING & FINANCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X	Business, Economics, Finance and Accounting    		Accounting and Finance Association of Australia and New Zealand	 
1911-382X	1911-3838	ACCOUNTING PERSPECTIVES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838	Business, Economics, Finance and Accounting		Canadian Academic Accounting Association	 
0001-5172	1399-6576	ACTA ANAESTHESIOLOGICA SCANDINAVICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576	Medical, Veterinary and Health Sciences	STM Collection	Scandinavian Society of Anaesthesiology and Intensive Care Medicine	 
0065-101X	1600-0390	ACTA ARCHAEOLOGICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390	Humanities and Social Sciences		Institute of Archaeology, Denmark	 
0108-7673	1600-5724	ACTA CRYSTALLOGRAPHICA SECTION A	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724	Chemistry   	STM Collection	International Union of Crystallography	 
0108-7681	1600-5740	ACTA CRYSTALLOGRAPHICA SECTION B	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5740	Chemistry   	STM Collection	International Union of Crystallography	 
0108-2701	1600-5759	ACTA CRYSTALLOGRAPHICA SECTION C	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759	Chemistry   	STM Collection	International Union of Crystallography	 
0907-4449	1399-0047	ACTA CRYSTALLOGRAPHICA SECTION D	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047	Chemistry   	STM Collection	International Union of Crystallography	 
E-only title	1600-5368	ACTA CRYSTALLOGRAPHICA SECTION E (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5368	Chemistry   	STM Collection	International Union of Crystallography	 
E-only title	1744-3091	ACTA CRYSTALLOGRAPHICA SECTION F (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091	Chemistry   	STM Collection	International Union of Crystallography	 
1000-9515	1755-6724	ACTA GEOLOGICA SINICA (ENGLISH EDITION)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724	Earth and Environmental Science	STM Collection	Geological Society of China	 
0001-6314	1600-0404	ACTA NEUROLOGICA SCANDINAVICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404	Medical, Veterinary and Health Sciences	STM Collection		 
0924-2708	1601-5215	ACTA NEUROPSYCHIATRICA (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1601-5215	Medical, Veterinary and Health Sciences	STM Collection	Scandinavian College of NeuroPsychopharmacology (SCNP)	 
0001-6349	1600-0412	ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412	Medical, Veterinary and Health Sciences	STM Collection	Nordic Federation of Societies of Obstetrics and Gynecology (NFOG)	 
1755-375X	1755-3768	ACTA OPHTHALMOLOGICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-3768	Medical, Veterinary and Health Sciences	STM Collection	European Association for Vision & Eye Research	 
0803-5253	1651-2227	ACTA PAEDIATRICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1651-2227	Medical, Veterinary and Health Sciences	STM Collection	Foundation Acta Paediatrica (FAP)	 
1748-1708	1748-1716	ACTA PHYSIOLOGICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716	Life Sciences	STM Collection	Federation of European Physiological Societies	 
0001-690X	1600-0447	ACTA PSYCHIATRICA SCANDINAVICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447	Medical, Veterinary and Health Sciences	STM Collection		 
0001-7272	1463-6395	ACTA ZOOLOGICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-6395	Life Sciences	STM Collection	Royal Swedish Academy of Sciences	 
0965-2140	1360-0443	ADDICTION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443	Medical, Veterinary and Health Sciences	STM Collection	Society for the Study of Addiction	 
1355-6215	1369-1600	ADDICTION BIOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-1600	Life Sciences	STM Collection	Society for the Study of Addiction	 
1524-6817	2161-0029	ADULTSPAN JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-0029	Humanities and Social Sciences		American Counseling Association (ACA)	 
1614-6832	1614-6840	ADVANCED ENERGY MATERIALS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840	Engineering 			 
1438-1656	1527-2648	ADVANCED ENGINEERING MATERIALS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-2648	Polymers and Materials Science			 
1616-301X	1616-3028	ADVANCED FUNCTIONAL MATERIALS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028	Polymers and Materials Science	STM Collection		 
2192-2640	2192-2659	ADVANCED HEALTHCARE MATERIALS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-2659	Polymers and Materials Science			 
0935-9648	1521-4095	ADVANCED MATERIALS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095	Polymers and Materials Science	STM Collection		 
1615-4150	1615-4169	ADVANCED SYNTHESIS & CATALYSIS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-4169	Chemistry   			 
0730-6679	1098-2329	ADVANCES IN POLYMER TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2329	Chemistry   	STM Collection		 
0001-9852	1467-6346	AFRICA RESEARCH BULLETIN: ECONOMIC, FINANCIAL AND TECHNICAL SERIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6346	Humanities and Social Sciences			 
0001-9844	1467-825X	AFRICA RESEARCH BULLETIN: POLITICAL, SOCIAL AND CULTURAL SERIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-825X	Humanities and Social Sciences			 
1017-6772	1467-8268	AFRICAN DEVELOPMENT REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8268	Humanities and Social Sciences		African Development Bank (AFD)	 
0141-6707	1365-2028	AFRICAN JOURNAL OF ECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2028	Life Sciences	STM Collection	East African Wild Life Society	 
