entrezId	sym	refseqIds	refseqProtIds
1	A1BG	NM_130786.3	NP_570602.2
2	A2M	NM_000014.4	NP_000005.2
3	A2MP1	NR_040112.1	
131076	CCDC58	NM_001017928.2	NP_001017928.1
9	NAT1	NM_001160173.1,NM_001160176.1,NM_001160179.1,NM_001160170.1,NM_001160171.1,NM_001160174.1,NM_001160175.1,NM_000662.5,NM_001160172.1	NP_001153645.1,NP_001153644.1,NP_001153651.1,NP_001153648.1,NP_001153643.1,NP_001153642.1,NP_001153647.1,NP_001153646.1,NP_000653.3
10	NAT2	NM_000015.2	NP_000006.2
100422999	MIR4278	NR_036242.1	
12	SERPINA3	NM_001085.4	NP_001076.2
13	AADAC	NM_001086.2	NP_001077.2
14	AAMP	NM_001087.3	NP_001078.2
15	AANAT	NM_001166579.1,NM_001088.2	NP_001160051.1,NP_001079.1
16	AARS	NM_001605.2	NP_001596.2
18	ABAT	NM_020686.5,NM_000663.4,NM_001127448.1	NP_065737.2,NP_001120920.1,NP_000654.2
19	ABCA1	NM_005502.3	NP_005493.2
20	ABCA2	NM_001606.4,NM_212533.2	NP_001597.2,NP_997698.1
21	ABCA3	NM_001089.2	NP_001080.2
22	ABCB7	NM_001271699.1,NM_004299.4,NM_001271696.1,NM_001271698.1,NM_001271697.1	NP_001258626.1,NP_004290.2,NP_001258628.1,NP_001258625.1,NP_001258627.1
23	ABCF1	NM_001090.2,NM_001025091.1	NP_001081.1,NP_001020262.1
24	ABCA4	NM_000350.2	NP_000341.2
25	ABL1	NM_007313.2,NM_005157.4	NP_005148.2,NP_009297.2
26	ABP1	NM_001272072.1,NM_001091.3	NP_001259001.1,NP_001082.2
27	ABL2	NM_001168238.1,NM_007314.3,NM_001168237.1,NM_001136001.1,NM_001136000.2,NM_001168236.1,NM_005158.4,NM_001168239.1	NP_001129473.1,NP_001129472.1,NP_005149.4,NP_009298.1,NP_001161710.1,NP_001161711.1,NP_001161709.1,NP_001161708.1
28	ABO	NM_020469.2	NP_065202.2
29	ABR	NM_001256847.1,NM_001159746.2,NM_021962.3,NR_046393.1,NM_001092.4	NP_001243776.1,NP_001083.2,NP_001153218.1,NP_068781.2
30	ACAA1	NR_024024.1,NM_001130410.1,NM_001607.3	NP_001598.1,NP_001123882.1
31	ACACA	NM_198838.1,NM_198837.1,NM_198839.1,NM_198834.1,NM_198836.1	NP_942134.1,NP_942131.1,NP_942136.1,NP_942133.1,NP_942135.1
32	ACACB	NM_001093.3	NP_001084.3
33	ACADL	NM_001608.3	NP_001599.1
34	ACADM	NM_000016.4,NM_001127328.1	NP_001120800.1,NP_000007.1
35	ACADS	NM_000017.2	NP_000008.1
36	ACADSB	NM_001609.3	NP_001600.1
37	ACADVL	NM_000018.3,NM_001270447.1,NM_001033859.2,NM_001270448.1	NP_000009.1,NP_001257377.1,NP_001257376.1,NP_001029031.1
38	ACAT1	NM_000019.3	NP_000010.1
39	ACAT2	NM_005891.2	NP_005882.2
40	ASIC2	NM_001094.4,NM_183377.1	NP_001085.2,NP_899233.1
41	ASIC1	NM_001095.3,NM_020039.3,NR_046389.1,NM_001256830.1	NP_001243759.1,NP_001086.2,NP_064423.2
43	ACHE	NM_000665.3,NM_015831.2	NP_056646.1,NP_000656.1
131118	DNAJC19	NR_033723.1,NM_145261.3,NR_033722.1,NR_033721.1,NR_046073.1,NM_001190233.1	NP_660304.1,NP_001177162.1
47	ACLY	NM_198830.1,NM_001096.2	NP_942127.1,NP_001087.2
48	ACO1	NM_002197.2	NP_002188.1
49	ACR	NM_001097.2	NP_001088.2
50	ACO2	NM_001098.2	NP_001089.1
51	ACOX1	NM_007292.5,NM_004035.6,NM_001185039.1	NP_001171968.1,NP_009223.2,NP_004026.2
52	ACP1	NM_004300.3,NR_024080.1,NM_001040649.2,NM_007099.3	NP_004291.1,NP_001035739.1,NP_009030.1
53	ACP2	NM_001610.2,NM_001131064.1	NP_001124536.1,NP_001601.1
54	ACP5	NM_001111036.1,NM_001111034.1,NM_001611.3,NM_001111035.1	NP_001104505.1,NP_001602.1,NP_001104504.1,NP_001104506.1
55	ACPP	NM_001134194.1,NM_001099.4	NP_001127666.1,NP_001090.2
56	ACRV1	NM_020108.4,NM_020069.4,NM_020107.4,NM_001612.5	NP_064493.1,NP_064454.1,NP_064492.1,NP_001603.1
58	ACTA1	NM_001100.3	NP_001091.1
59	ACTA2	NM_001141945.1,NM_001613.2	NP_001135417.1,NP_001604.1
60	ACTB	NM_001101.3	NP_001092.1
70	ACTC1	NM_005159.4	NP_005150.1
71	ACTG1	NR_037688.1,NM_001199954.1,NM_001614.3	NP_001605.1,NP_001186883.1
72	ACTG2	NM_001615.3,NM_001199893.1	NP_001186822.1,NP_001606.1
131149	OTOL1	NM_001080440.1	NP_001073909.1
81	ACTN4	NM_004924.4	NP_004915.2
86	ACTL6A	NM_177989.2,NM_004301.3,NM_178042.2	NP_829888.1,NP_817126.1,NP_004292.1
87	ACTN1	NM_001130004.1,NM_001102.3,NM_001130005.1	NP_001123476.1,NP_001093.1,NP_001123477.1
88	ACTN2	NM_001103.2	NP_001094.1
89	ACTN3	NR_047663.1,NM_001258371.1,NM_001104.2	NP_001245300.1,NP_001095.1
90	ACVR1	NM_001105.4,NM_001111067.2	NP_001096.1,NP_001104537.1
91	ACVR1B	NM_020327.3,NM_004302.4,NM_020328.3	NP_064732.3,NP_004293.1,NP_064733.3
92	ACVR2A	NM_001616.3	NP_001607.1
93	ACVR2B	NM_001106.3	NP_001097.2
94	ACVRL1	NM_001077401.1,NM_000020.2	NP_000011.2,NP_001070869.1
95	ACY1	NM_001198896.1,NM_000666.2,NM_001198897.1,NM_001198895.1,NM_001198898.1	NP_001185824.1,NP_001185826.1,NP_000657.1,NP_001185825.1,NP_001185827.1
97	ACYP1	NM_001107.3,NM_203488.1	NP_001098.1,NP_982355.1
98	ACYP2	NM_138448.3	NP_612457.1
100	ADA	NM_000022.2	NP_000013.2
101	ADAM8	NM_001164490.1,NM_001164489.1,NM_001109.4	NP_001100.3,NP_001157961.1,NP_001157962.1
102	ADAM10	NM_001110.2	NP_001101.1
103	ADAR	NM_015840.3,NM_001111.4,NM_001193495.1,NM_001025107.2,NM_015841.3	NP_056656.2,NP_056655.2,NP_001020278.1,NP_001102.2,NP_001180424.1
104	ADARB1	NM_001160230.1,NM_001112.3,NM_015833.3,NR_027674.1,NR_073200.1,NR_027672.1,NR_027673.1,NM_015834.3	NP_001153702.1,NP_056648.1,NP_001103.1,NP_056649.1
105	ADARB2	NM_018702.3	NP_061172.1
107	ADCY1	NM_021116.2	NP_066939.1
108	ADCY2	NM_020546.2	NP_065433.2
109	ADCY3	NM_004036.3	NP_004027.2
111	ADCY5	NM_183357.2,NM_001199642.1	NP_001186571.1,NP_899200.1
112	ADCY6	NM_015270.3,NM_020983.2	NP_066193.1,NP_056085.1
113	ADCY7	NM_001114.3	NP_001105.1
114	ADCY8	NM_001115.2	NP_001106.1
115	ADCY9	NM_001116.3	NP_001107.2
116	ADCYAP1	NM_001099733.1,NM_001117.4	NP_001108.2,NP_001093203.1
117	ADCYAP1R1	NM_001199636.1,NM_001199635.1,NM_001118.4,NM_001199637.1	NP_001186565.1,NP_001186566.1,NP_001109.2,NP_001186564.1
118	ADD1	NM_014189.3,NM_001119.4,NM_176801.2,NM_014190.3	NP_054909.2,NP_789771.1,NP_054908.2,NP_001110.2
119	ADD2	NM_001185055.1,NM_001617.3,NM_017488.3,NM_001185054.1,NM_017482.3	NP_001608.1,NP_059522.1,NP_059516.2,NP_001171984.1,NP_001171983.1
120	ADD3	NM_019903.3,NM_001121.2,NM_016824.3	NP_063968.1,NP_001112.2,NP_058432.1
123	PLIN2	NM_001122.3,NR_038064.1	NP_001113.2
124	ADH1A	NM_000667.3	NP_000658.1
125	ADH1B	NM_000668.4	NP_000659.2
126	ADH1C	NM_000669.3	NP_000660.1
127	ADH4	NM_000670.3	NP_000661.2
128	ADH5	NM_000671.3	NP_000662.3
130	ADH6	NM_000672.3,NM_001102470.1	NP_001095940.1,NP_000663.1
131	ADH7	NM_001166504.1,NM_000673.4	NP_000664.2,NP_001159976.1
132	ADK	NM_001202450.1,NM_001202449.1,NM_006721.3,NM_001123.3	NP_001189378.1,NP_001114.2,NP_001189379.1,NP_006712.2
133	ADM	NM_001124.1	NP_001115.1
134	ADORA1	NM_000674.2,NM_001048230.1	NP_001041695.1,NP_000665.1
135	ADORA2A	NM_000675.4	NP_000666.2
136	ADORA2B	NM_000676.2	NP_000667.1
100423020	MIR4258	NR_036212.1	
140	ADORA3	NM_001081976.1,NM_000677.3,NM_020683.6	NP_001075445.1,NP_000668.1,NP_065734.5
141	ADPRH	NM_001125.2	NP_001116.1
142	PARP1	NM_001618.3	NP_001609.2
143	PARP4	NM_006437.3	NP_006428.2
131096	KCNH8	NM_144633.2	NP_653234.2
146	ADRA1D	NM_000678.3	NP_000669.1
147	ADRA1B	NM_000679.3	NP_000670.1
148	ADRA1A	NM_033304.2,NM_033303.3,NM_033302.2,NM_000680.2	NP_000671.2,NP_150646.3,NP_150647.2,NP_150645.2
150	ADRA2A	NM_000681.3	NP_000672.3
151	ADRA2B	NM_000682.5	NP_000673.2
152	ADRA2C	NM_000683.3	NP_000674.2
153	ADRB1	NM_000684.2	NP_000675.1
154	ADRB2	NM_000024.5	NP_000015.1
155	ADRB3	NM_000025.2	NP_000016.1
156	ADRBK1	NM_001619.3	NP_001610.2
157	ADRBK2	NM_005160.3	NP_005151.2
158	ADSL	NM_000026.2,NM_001123378.1	NP_001116850.1,NP_000017.1
159	ADSS	NM_001126.3	NP_001117.2
160	AP2A1	NM_014203.2,NM_130787.2	NP_055018.2,NP_570603.2
161	AP2A2	NM_001242837.1,NM_012305.3	NP_036437.1,NP_001229766.1
162	AP1B1	NM_145730.2,NM_001127.3,NM_001166019.1	NP_663782.2,NP_001159491.1,NP_001118.3
163	AP2B1	NM_001282.2,NM_001030006.1	NP_001273.1,NP_001025177.1
164	AP1G1	NM_001030007.1,NM_001128.5	NP_001119.3,NP_001025178.1
165	AEBP1	NM_001129.3	NP_001120.3
166	AES	NM_198970.1,NM_198969.1,NM_001130.5	NP_945321.1,NP_945320.1,NP_001121.2
167	CRISP1	NM_170609.1,NM_001205220.1,NM_001131.2	NP_001122.2,NP_001192149.1,NP_733758.1
172	AFG3L1P	NR_003226.1,NR_003227.1,NR_003228.1	
173	AFM	NM_001133.2	NP_001124.1
174	AFP	NM_001134.1	NP_001125.1
175	AGA	NM_001171988.1,NM_000027.3,NR_033655.1	NP_001165459.1,NP_000018.2
176	ACAN	NM_001135.3,NM_013227.3	NP_037359.3,NP_001126.3
177	AGER	NM_001206940.1,NM_001206929.1,NM_001206954.1,NM_001206934.1,NR_038190.1,NM_001206966.1,NM_001206936.1,NM_001136.4,NM_001206932.1,NM_172197.2	NP_001193865.1,NP_001193863.1,NP_001193883.1,NP_001193869.1,NP_001127.1,NP_001193858.1,NP_751947.1,NP_001193895.1,NP_001193861.1
178	AGL	NM_000642.2,NM_000643.2,NM_000646.2,NM_000028.2,NM_000645.2,NM_000644.2	NP_000635.2,NP_000634.2,NP_000019.2,NP_000637.2,NP_000633.2,NP_000636.2
181	AGRP	NM_001138.1	NP_001129.1
182	JAG1	NM_000214.2	NP_000205.1
183	AGT	NM_000029.3	NP_000020.1
185	AGTR1	NM_000685.4,NM_032049.3,NM_009585.3,NM_004835.4,NM_031850.3	NP_000676.1,NP_004826.5,NP_033611.1,NP_114038.4,NP_114438.2
186	AGTR2	NM_000686.4	NP_000677.2
187	APLNR	NM_005161.4,NR_027991.1	NP_005152.1
189	AGXT	NM_000030.2	NP_000021.1
190	NR0B1	NM_000475.4	NP_000466.2
191	AHCY	NM_001161766.1,NM_000687.2	NP_001155238.1,NP_000678.1
196	AHR	NM_001621.4	NP_001612.1
197	AHSG	NM_001622.2	NP_001613.2
199	AIF1	NM_001623.3,NM_004847.3,NM_032955.1	NP_001614.3,NP_116573.1,NP_004838.1
202	AIM1	NM_001624.2	NP_001615.1
203	AK1	NM_000476.2	NP_000467.1
