primaryName	totalCount	backfileCount	currentCount	prefixes	prefixInfo	altNames	location
Elsevier BV	14516912	13071039	1445873	10.7424|10.14219|10.7811|10.1580|10.1533|10.1529|10.3816|10.1602|10.3921|10.1240|10.1205|10.4065|10.1197|10.1157|10.1383|10.1367|10.2353|10.2111|10.1006|10.1016|10.1054|10.1053|10.1067|10.1078|10.3182	10.7424=Elsevier - Central Mining Institute|10.14219=American Dental Association|10.7811=Sociedad Argentina de Radiologia|10.1580=Elsevier - Wilderness Medical Society|10.1533=Woodhead Publishing|10.1529=Elsevier - Biophysical Society|10.3816=Elsevier - CIG Media Group LP|10.1602=Elsevier - American Society for Experimental Neurotherapeutics|10.3921=Elsevier - Colegio Nacional de Opticos-Optometristas de Espana|10.1240=Elsevier- Spektrum Akademischer Verlag|10.1205=Elsevier - Institution of Chemical Engineers|10.4065=Elsevier - Mayo Clinic Proceedings|10.1197=Elsevier- Hanley and Belfus Inc.|10.1157=Elsevier - Ediciones Doyma|10.1383=Elsevier - Medicine Publishing Company|10.1367=Elsevier - Ambulatory Pediatric Associates|10.2353=Elsevier - American Society for Investigative Pathology|10.2111=Elsevier (Society for Range Management)|10.1006=Elsevier - Academic Press|10.1016=Elsevier |10.1054=Elsevier- Churchill Livingstone|10.1053=Elsevier - WB Saunders|10.1067=Elsevier - Mosby|10.1078=Elsevier - Urban & Fischer Verlag|10.3182=Elsevier - International Federation of Automatic Control (IFAC)	Elsevier - Academic Press|Elsevier - Biophysical Society|Elsevier - Ambulatory Pediatric Associates|Elsevier- Churchill Livingstone|Elsevier (Society for Range Management)|Elsevier - Colegio Nacional de Opticos-Optometristas de Espana|Elsevier BV|Elsevier - Institution of Chemical Engineers|Elsevier|Elsevier - Medicine Publishing Company|Elsevier - CIG Media Group LP|Elsevier - Urban & Fischer Verlag|Elsevier - American Society for Investigative Pathology|Elsevier - International Federation of Automatic Control (IFAC)|Elsevier - WB Saunders|Elsevier- Hanley and Belfus Inc.|Elsevier - Mayo Clinic Proceedings|Elsevier- Spektrum Akademischer Verlag|Elsevier - Wilderness Medical Society|Elsevier - Central Mining Institute|American Dental Association|Elsevier - Mosby|Elsevier - Ediciones Doyma|Woodhead Publishing|Sociedad Argentina de Radiologia|Elsevier - American Society for Experimental Neurotherapeutics	Accounts Payable PO Box 836 360 Park Avenue South Amsterdam 1000 AV Netherlands
Springer Nature	9058865	8210794	848071	10.7603|10.3758|10.1617|10.1251|10.1245|10.4056|10.1186|10.1140|10.1114|10.5819|10.5822|10.1385|10.1381|10.1379|10.1361|10.5052|10.2165|10.1007|10.1023|10.1065|10.4333	10.7603=Springer - Global Science Journals|10.3758=Springer - Psychonomic Society|10.1617=Springer - RILEM Publishing|10.1251=Springer (Biological Procedures Online)|10.1245=Springer - Society of Surgical Oncology|10.4056=Genomic Standards Consortium|10.1186=Springer (Biomed Central Ltd.)|10.1140=Springer-Verlag|10.1114=Springer (Kluwer Academic Publishers - Biomedical Engineering Society (BMES))|10.5819=Springer - (backfiles)|10.5822=Island Press|10.1385=Springer - Humana Press|10.1381=Springer - FD Communications|10.1379=Springer - Cell Stress Society International|10.1361=Springer - ASM International|10.5052=Springer - Real Academia de Ciencias Exactas, Fisicas y Naturales|10.2165=Springer - Adis|10.1007=Springer-Verlag|10.1023=Springer (Kluwer Academic Publishers)|10.1065=Springer - Ecomed Publishers|10.4333=Springer - The Korean Society of Pharmaceutical Sciences and Technology	Springer - ASM International|Springer (Biomed Central Ltd.)|Springer (Kluwer Academic Publishers)|Genomic Standards Consortium|Springer-Verlag|Springer - Global Science Journals|Springer - RILEM Publishing|Springer - Psychonomic Society|Springer - Humana Press|Springer - The Korean Society of Pharmaceutical Sciences and Technology|Springer - Ecomed Publishers|Springer - Real Academia de Ciencias Exactas, Fisicas y Naturales|Springer (Biological Procedures Online)|Springer - Cell Stress Society International|Island Press|Springer - (backfiles)|Springer - Adis|Springer - Society of Surgical Oncology|Springer Nature|Springer - FD Communications|Springer (Kluwer Academic Publishers - Biomedical Engineering Society (BMES))	One New York Plaza, Suite 4500 New York NY 10004-1562 United States
Wiley-Blackwell	7956589	7364247	592342	10.3405|10.3401|10.1581|10.1592|10.1516|10.1506|10.1526|10.14814|10.2966|10.1890|10.1892|10.1897|10.2903|10.2746|10.4004|10.1256|10.1196|10.1111|10.1113|10.1301|10.1359|10.1348|10.5054|10.2164|10.1002|10.1034|10.1046|10.3170|10.3162|10.4319	10.3405=Wiley Blackwell (New York Academy of Sciences E-Briefings)|10.3401=Wiley Blackwell (Production and Operations Management)|10.1581=Wiley Blackwell (Robotic Publications)|10.1592=Pharmacotherapy|10.1516=Wiley Blackwell (International Journal of Psychoanalysis)|10.1506=Wiley Blackwell (Canadian Academic Accounting Association)|10.1526=Wiley Blackwell (Rural Sociological Society)|10.14814=Wiley Blackwell (Physiological Reports)|10.2966=Wiley Blackwell (AHRC Research Centre)|10.1890=Ecological Society of America|10.1892=Wiley Blackwell (American College of Veterinary Internal Medicine)|10.1897=Wiley Blackwell (Society of Environmental Toxicology and Chemistry)|10.2903=Publications Office of the European Union|10.2746=Wiley Blackwell (Equine Veterinary Journal)|10.4004=Wiley Blackwell (The Wildlife Society)|10.1256=Wiley Blackwell (Royal Meteorological Society) |10.1196=Wiley Blackwell (New York Academy of Sciences)|10.1111=Wiley Blackwell (Blackwell Publishing)|10.1113=Wiley Blackwell (Blackwell Publishing -The Physiological Society)|10.1301=Wiley Blackwell (International Life Sciences Institute)|10.1359=Wiley Blackwell (American Society Bone & Mineral Research)|10.1348=Wiley Blackwell (British Psychological Society)|10.5054=Wiley Blackwell (Teachers of English to Speakers of Other Languages, Inc.)|10.2164=American Society of Andrology|10.1002=Wiley Blackwell (John Wiley & Sons)|10.1034=Wiley Blackwell (Blackwell Publishing - Munksgaard)|10.1046=Wiley Blackwell (Blackwell Publishing)|10.3170=Wiley Blackwell (Opulus Press)|10.3162=Wiley Blackwell (Comparative Legislative Research Center)|10.4319=American Society of Limnology and Oceanography, Inc.	Wiley Blackwell (Rural Sociological Society)|Wiley Blackwell (Canadian Academic Accounting Association)|Wiley Blackwell (Robotic Publications)|Wiley Blackwell (American Society Bone & Mineral Research)|Wiley Blackwell (Opulus Press)|Wiley Blackwell (Physiological Reports)|American Society of Limnology and Oceanography, Inc.|Publications Office of the European Union|Wiley Blackwell (International Journal of Psychoanalysis)|Wiley Blackwell (British Psychological Society)|Wiley Blackwell (New York Academy of Sciences)|American Society of Andrology|Wiley Blackwell (Blackwell Publishing)|Wiley Blackwell (International Life Sciences Institute)|Wiley Blackwell (New York Academy of Sciences E-Briefings)|Wiley Blackwell (Equine Veterinary Journal)|Wiley Blackwell (Royal Meteorological Society)|Wiley Blackwell (The Wildlife Society)|Wiley Blackwell (Society of Environmental Toxicology and Chemistry)|Wiley Blackwell (Blackwell Publishing -The Physiological Society)|Pharmacotherapy|Wiley Blackwell (Blackwell Publishing - Munksgaard)|Wiley Blackwell (Production and Operations Management)|Wiley Blackwell (Teachers of English to Speakers of Other Languages, Inc.)|Ecological Society of America|Wiley Blackwell (Comparative Legislative Research Center)|Wiley Blackwell (American College of Veterinary Internal Medicine)|Wiley Blackwell (AHRC Research Centre)|Wiley Blackwell (John Wiley & Sons)|Wiley-Blackwell	111 River Street Hoboken NJ 07030 United States
Informa UK Limited	3682191	3383766	298425	10.1582|10.7158|10.3763|10.1531|10.3810|10.3826|10.1623|10.3939|10.2989|10.2976|10.1888|10.1887|10.1201|10.1207|10.5661|10.1198|10.1174|10.4113|10.2513|10.5004|10.5175|10.4161|10.2167|10.3110|10.3137|10.3152|10.3155|10.1080|10.1081|10.3187|10.5370|10.3200|10.4324	10.1582=Illuminating Engineering Society of North America|10.7158=Engineers Australia|10.3763=Earthscan|10.1531=Informa UK (Taylor & Francis Books)|10.3810=JTE Multimedia LLC|10.3826=Informa UK (International Association of Hydraulic Engineering and Research (IAHR))|10.1623=Informa UK (IAHS Ltd.)|10.3939=Informa UK (Georg D. W. Callwey GambH and Co., KG)|10.2989=Informa UK (National Inquiry Services Center)|10.2976=Informa UK (Human Frontier Science Program Publishing)|10.1888=Informa UK (Encyclopedia of Astronomy and Astrophysics)|10.1887=Informa UK(IOP Books)|10.1201=CRC Press|10.1207=Informa UK (Lawrence Erlbaum Associates, Inc.)|10.5661=Nottingham University Press|10.1198=Informa UK (American Statistical Association)|10.1174=Fundacion Infancia y Aprendizaje|10.4113=Informa UK (Journal of Maps)|10.2513=Informa UK (Lawrence Erlbaum Associates, Inc)|10.5004=Desalination Publications|10.5175=Council on Social Work Education|10.4161=Landes Bioscience|10.2167=Informa UK (Multilingual Matters)|10.3110=Informa UK (Regulatory Affairs)|10.3137=Informa UK (Canadian Meteorological and Oceanographic Society)|10.3152=Informa UK (Beech Tree Publishing)|10.3155=Informa UK (Air & Waste Management Association)|10.1080=Informa UK (Taylor & Francis)|10.1081=Informa UK (Marcel Dekker)|10.3187=Informa UK (National Inquiry Services Center/African Journals Online)|10.5370=The Korean Institute of Electrical Engineers|10.3200=Informa UK (Heldref Publications)|10.4324=Informa UK (Routledge)	Council on Social Work Education|Informa UK (National Inquiry Services Center)|Informa UK (National Inquiry Services Center/African Journals Online)|Informa UK (Taylor & Francis)|Informa UK (Human Frontier Science Program Publishing)|Informa UK (Lawrence Erlbaum Associates, Inc)|Informa UK (American Statistical Association)|Informa UK (Beech Tree Publishing)|Informa UK (Regulatory Affairs)|Informa UK (Georg D. W. Callwey GambH and Co., KG)|Nottingham University Press|Fundacion Infancia y Aprendizaje|Informa UK(IOP Books)|Earthscan|Informa UK (Taylor & Francis Books)|JTE Multimedia LLC|Engineers Australia|Informa UK (Air & Waste Management Association)|Informa UK (Journal of Maps)|Informa UK (Canadian Meteorological and Oceanographic Society)|Informa UK (Marcel Dekker)|CRC Press|Informa UK (Lawrence Erlbaum Associates, Inc.)|Illuminating Engineering Society of North America|Informa UK (Multilingual Matters)|Informa UK (IAHS Ltd.)|Informa UK (Encyclopedia of Astronomy and Astrophysics)|Informa UK (Routledge)|Informa UK (International Association of Hydraulic Engineering and Research (IAHR))|Informa UK (Heldref Publications)|Landes Bioscience|Desalination Publications|The Korean Institute of Electrical Engineers|Informa UK Limited	120 Wall Street 17th Floor New York NY 10005 United States
Institute of Electrical &amp; Electronics Engineers (IEEE)	2751649	2347525	404124	10.17775|10.1109|10.15325	10.17775=CSSE|10.1109=Institute of Electrical and Electronics Engineers|10.15325=Institute of Electrical and Electronics Engineers - Bell Labs	Institute of Electrical and Electronics Engineers - Bell Labs|CSSE|Institute of Electrical and Electronics Engineers|Institute of Electrical &amp; Electronics Engineers (IEEE)	445 Hoes Lane Attn: Bratati Biswas Piscataway NJ 08855-1331
Oxford University Press (OUP)	1941772	1798866	142906	10.3382|10.1510|10.1112|10.1093	10.3382=Poultry Science Association|10.1510=European Association of Cardiothoracic Surgery|10.1112=Oxford University Press - London Mathematical Society|10.1093=Oxford University Press	Oxford University Press (OUP)|Oxford University Press|Poultry Science Association|Oxford University Press - London Mathematical Society|European Association of Cardiothoracic Surgery	Academic Division Journals Great Clarendon Street Great Clarendon Street Oxford OX2 6DP United Kingdom
JSTOR	1850228	1850040	188	10.2307	10.2307=JSTOR	JSTOR	301 E. Liberty Suite 400 Suite 400 Ann Arbor MI 48104
Ovid Technologies (Wolters Kluwer Health)	1720216	1604299	115917	10.7123|10.1519|10.1288|10.1227|10.1249|10.1212|10.1213|10.1203|10.1161|10.2459|10.2106|10.1097	10.7123=Ovid Technologies (Wolters Kluwer) - ENSTINET|10.1519=Ovid Technologies (Wolters Kluwer) - National Strength & Conditioning|10.1288=Ovid Technologies (Wolters Kluwer) - Triological Society|10.1227=Ovid Technologies (Wolters Kluwer) - Neurosurgery|10.1249=Ovid Technologies (Wolters-Kluwer) - American College of Sports Medicine|10.1212=Ovid Technologies (Wolters Kluwer) - American Academy of Neurology|10.1213=Ovid Technologies (Wolters Kluwer) - Anesthesia & Analgesia|10.1203=Ovid Technologies (Wolters Kluwer) - International Pediatric Research Foundation|10.1161=Ovid Technologies Wolters Kluwer -American Heart Association|10.2459=Ovid Technologies (Wolters Kluwer) - Italian Federation of Cardiology|10.2106=Journal of Bone and Joint Surgery|10.1097=Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins	Ovid Technologies (Wolters Kluwer) - International Pediatric Research Foundation|Journal of Bone and Joint Surgery|Ovid Technologies (Wolters Kluwer) - ENSTINET|Ovid Technologies Wolters Kluwer -American Heart Association|Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins|Ovid Technologies (Wolters Kluwer) - National Strength & Conditioning|Ovid Technologies (Wolters-Kluwer) - American College of Sports Medicine|Ovid Technologies (Wolters Kluwer) - Neurosurgery|Ovid Technologies (Wolters Kluwer Health)|Ovid Technologies (Wolters Kluwer) - Anesthesia & Analgesia|Ovid Technologies (Wolters Kluwer) - American Academy of Neurology|Ovid Technologies (Wolters Kluwer) - Triological Society|Ovid Technologies (Wolters Kluwer) - Italian Federation of Cardiology	100 River Ridge Drive Suite 207 333 Seventh Avenue Norwood MA 2062
SAGE Publications	1669427	1549444	119983	10.3317|10.7182|10.3821|10.1630|10.1622|10.2968|10.1258|10.1243|10.1191|10.1177|10.1106|10.2511|10.1369|10.1354|10.1345|10.17322|10.5034|10.5126|10.5193|10.4135|10.2182|10.4219|10.5367	10.3317=Sage Publications (JRAAS Limited)|10.7182=North American Transplant Coordinators Organization|10.3821=Canadian Pharmacists Journal|10.1630=Sage Publications-International Institute for Environment and Development|10.1622=SagePublications - National Association of School Nurses|10.2968=Sage Publications - Bulletin of the Atomic Scientists|10.1258=The Royal Society of Medicine|10.1243=Research Publishing Services - Professional Engineering Publishing|10.1191=Arnold Publishers|10.1177=SAGE Publications|10.1106=Sage Publications - Technomic Publishing Company|10.2511=TASH|10.1369=Journal of Histochemistry & Cytochemistry|10.1354=American College of Veterinary Pathologists|10.1345=Harvey Whitney Books Co.|10.17322=Sage - Corwin|10.5034=Excellus Health Plan, Inc.|10.5126=Excellus Health Plan, Inc.|10.5193=Association for Experimental Education|10.4135=Sage Publications - Reference E-Books|10.2182=Canadian Association of Occupational Therapists|10.4219=Sage Publications (Prufrock Press, Inc.)|10.5367=IP Publishing	Sage Publications (JRAAS Limited)|Research Publishing Services - Professional Engineering Publishing|Sage Publications-International Institute for Environment and Development|Arnold Publishers|TASH|American College of Veterinary Pathologists|Sage Publications - Bulletin of the Atomic Scientists|Sage Publications - Reference E-Books|The Royal Society of Medicine|Sage Publications - Technomic Publishing Company|SagePublications - National Association of School Nurses|Harvey Whitney Books Co.|Canadian Pharmacists Journal|North American Transplant Coordinators Organization|IP Publishing|Excellus Health Plan, Inc.|Canadian Association of Occupational Therapists|SAGE Publications|Journal of Histochemistry & Cytochemistry|Association for Experimental Education|Sage Publications (Prufrock Press, Inc.)|Sage - Corwin	2455 Teller Road Thousand Oaks CA 91320 United States
American Chemical Society (ACS)	1395829	1302611	93218	10.1021	10.1021=American Chemical Society	American Chemical Society (ACS)|American Chemical Society	1155 Sixteenth Street N.W. Washington 20036-4899 United States
