ISSN	impact
1619-4500	0.323
0891-0162	0.509
0149-1423	1.831
1550-7416	5.086
1530-9932	1.432
1532-8813	0.139
0942-8925	1.725
0025-5858	0.222
1085-3375	1.318
1069-6563	1.861
1040-2446	3.524
1876-2859	2.398
1076-6332	1.692
0898-9621	0.618
0001-4842	21.64
0949-1775	1.036
0889-325X	0.803
0889-3241	0.667
0360-0300	4.529
1550-4832	0.414
0362-1340	0.09
1549-6325	0.646
1544-3558	1.145
1544-3566	0.568
1556-4665	1.286
1529-3785	0.823
0734-2071	1.188
1073-0516	0.838
0362-5915	1
1084-4309	0.811
1539-9087	0.607
0730-0301	3.489
1046-8188	1.077
1094-9224	0.696
1533-5399	0.893
1556-4681	1.419
0098-3500	1.922
1049-3301	1.114
1551-6857	0.85
0164-0925	0.95
1936-7406	0.65
1550-4859	1.808
1049-331X	1.269
1559-1131	0.871
0814-6039	0.182
1063-7710	0.7
1944-8244	4.525
2155-5435	 
1554-8929	6.446
1948-7193	3.676
2156-8952	 
1948-5875	3.355
1936-0851	10.774
1091-5397	0.404
1610-1928	0.569
0001-5113	0.5
0906-4702	0.729
0906-4710	0.699
0139-3006	0.444
0001-5172	2.188
0167-8019	0.899
0065-1036	0.435
0094-5765	0.614
0001-5237	1.68
1672-9145	1.376
0001-527X	1.491
1509-409X	0.449
0717-5906	0
0001-5296	0.565
0236-5383	0.593
1742-7061	4.865
0325-2957	0.075
0001-5342	1.468
0102-3306	0.462
0365-0588	0.702
1253-8078	0.383
0187-7151	0.204
0001-5385	0.605
1011-6842	0.633
0583-6050	0.727
0567-7351	0.533
1318-0207	1.328
0001-5458	0.432
1508-1109	1.116
1233-2356	0.76
0102-8650	0.584
0001-5512	0.592
0353-9466	0.254
0108-7673	2.076
0108-7681	2.286
0108-2701	0.518
0907-4449	12.619
1600-5368	0.347
1744-3091	0.506
0001-5547	0.488
0001-5555	3.176
1330-027X	0.36
0940-5429	2.784
1841-0987	0.183
0240-642X	0.088
0374-1036	0.721
0873-9749	1.353
0001-5644	0.638
1217-8977	0.346
1214-9705	0.53
1581-6613	1.333
0001-5709	0.565
1000-9515	1.25
1895-6572	0.617
1861-1125	0.811
1854-0171	0.1
0001-5792	1.354
1827-9635	0.56
0065-1281	1.829
0044-5991	1.106
0137-1592	0.547
0001-5903	0.444
1359-6454	3.755
0168-9673	0.289
0236-5294	0.456
0252-9602	0.357
1439-8516	0.47
0001-5962	3.333
0001-5970	1.292
0567-7718	0.86
0894-9166	0.766
0386-300X	0.657
0393-6384	0.031
1646-0758	0.091
0412-1961	0.464
1006-7191	0.407
0894-0525	0.534
1217-8950	0.787
0798-4545	0.202
1335-1788	0.084
0065-1400	2.11
0001-6268	1.52
0300-9009	0.535
0001-6314	2.469
0001-6322	9.32
0924-2708	0.577
0001-6349	1.771
0253-505X	0.494
0001-6357	1.066
1146-609X	1.57
0284-186X	3.33
1755-375X	2.629
0001-6454	1.229
1745-3674	2.168
0001-6462	0.401
1017-995X	0.337
1413-7852	0.698
0001-6489	1.084
0392-100X	0.863
0803-5253	2.073
0567-7920	1.488
1230-2821	0.789
0103-2100	0.273
1330-0075	0.912
1671-4083	1.953
0587-4246	0.444
0587-4254	0.901
1000-3290	1.027
0323-0465	2.167
1000-6818	0.78
1748-1708	3.09
0231-424X	0.821
0137-5881	1.639
0001-6837	0.663
1000-3304	0.769
1785-8860	0.385
0065-1583	1.317
0001-690X	4.22
0284-1851	1.369
0303-464X	0.547
1644-0692	0.393
1678-0345	0.207
1679-9275	0.43
1806-2563	0.191
0001-6977	0.36
0001-7051	0.89
0001-706X	2.722
0001-7213	0.431
0236-6290	0.673
0044-605X	1.367
0567-8315	0.167
0001-723X	0.682
1217-8837	0.564
0324-0770	0.247
0001-7272	1.133
1139-9287	0.589
0210-4806	0.455
0151-9093	0.115
0964-5284	1.188
0360-1293	1.3
1570-8705	2.11
1551-9899	0.4
1280-8571	0.325
1059-7123	1.019
0736-5829	1.487
0306-4603	2.085
1355-6215	4.833
0965-2140	4.313
0214-4840	0.8
0263-6174	0.606
0929-5607	2
0065-2113	5.204
0301-5556	4
1072-4109	3.924
1743-6753	0.871
0188-7009	0.496
0196-8858	0.843
2070-0733	0.75
0065-2156	5
0065-2164	5.233
0001-8678	0.679
0256-1530	0.987
0724-6145	1.644
0065-227X	 
0065-2296	2.855
1864-8258	0.688
0065-2318	7.643
0360-0564	3.667
0951-7197	1.08
0065-2385	3.579
0065-2415	1.842
1548-5595	3.012
0065-2423	3.205
1899-5276	0.176
0001-8686	8.12
0219-5259	0.653
0963-6935	0.432
0924-3046	0.426
0065-2458	0.342
1019-7168	1.488
