source	pIssn	eIssn	linkIssn	title	publisher	correctPublisher	urls	uniqueId	medlineTA	majMeshList	author	language	country
NLM	0190-1214		0190-1214	Symposium on Fundamental Cancer Research.				100961284	Symp Fundam Cancer Res			eng	United States
NLM	0046-2039		0046-2039	Engineering in medicine.	Institution of Mechanical Engineers	Institution of Mechanical Engineers		0322070	Eng Med	Biomedical Engineering|Prostheses and Implants	Institution of Mechanical Engineers (Great Britain)	eng	England
NLM	1010-7339		1010-7339	Dental journal of Zambia : official publication of the Zambia Dental Association.	Zambia Dental Association	Zambia Dental Association		8909577	Dent J Zamb	Dentistry	Zambia Dental Association	eng	Zambia
NLM				Phlebitis bulletin.	Paterson, N. J	Paterson N J		19620510R	Phlebitis Bull	Phlebitis	McLintock (D. C.) Company, Paterson, N. J	eng	United States
NLM	0031-2673			The Bulletin of the Passaic County Medical Society.	Paterson, N. J	Paterson N J		7507038	Bull Passaic Cty Med Soc	Societies, Medical	Passaic County Medical Society	eng	United States
NLM	0882-1577		0882-1577	Health progress.	Catholic Health Association of the United States	Catholic Health Association of the United States		8500263	Health Prog	Delivery of Health Care|Hospitals|Nursing	Catholic Health Association of the United States	eng	United States
NLM	0018-5817		0018-5817	Hospital progress.	Catholic Health Assn. of the United States	Catholic Health Association of the United States		0374656	Hosp Prog	Hospitals|Nursing|Schools, Nursing	Catholic Hospital Association	eng	United States
NLM	0363-3918		0363-3918	International review of physiology.	University Park Press	University Park		7608349	Int Rev Physiol	Physiology		eng	United States
NLM	0098-0137		0098-0137	Advances in sex hormone research.	University Park Press	University Park		7504908	Adv Sex Horm Res	Gonadal Steroid Hormones		eng	United States
NLM	0300-5569		0300-5569	IRCS journal of international research communications.	University Park Press	University Park		7505550	ICRS J Int Res Commun	Medicine|Research	International Research Communications System	eng	United States
NLM	0363-5872		0363-5872	Recent advances in studies on cardiac structure and metabolism.	University Park Press	University Park		0325677	Recent Adv Stud Cardiac Struct Metab	Cardiology	International Study Group for Research in Cardiac Metabolism	eng	United States
NLM	0079-6654		0079-6654	Progress in pediatric surgery.	University Park Press	University Park		9814248	Prog Pediatr Surg	Surgical Procedures, Operative		eng	Germany
NLM	0939-5075	1865-7125	0341-0382	Zeitschrift für Naturforschung. C, A journal of biosciences.	Verlag der Zeitschrift für Naturforschung	der Zeitschrift für Naturforschung	http://www.znaturforsch.com/c.htm	8912155	Z Naturforsch C	Biology	Max-Planck-Gesellschaft zur Förderung der Wissenschaften	eng	Germany
NLM	0044-3174		0044-3174	Zeitschrift für Naturforschung. Teil B: Chemie, Biochemie, Biophysik, Biologie.	Verlag der Zeitschrift für Naturforschung	der Zeitschrift für Naturforschung		0364315	Z Naturforsch B	Biology|Chemistry|Physics	Max-Planck-Gesellschaft zur Förderung der Wissenschaften	eng	Germany
NLM	0012-7086		0012-7086	Duke law journal.	Duke University School of Law	Duke University School of Law		9877769	Duke Law J		Duke University. School of Law	eng	United States
NLM	1088-3118		1088-3118	Journal of dental technology : the peer-reviewed publication of the National Association of Dental Laboratories.	National Association Of Dental Laboratories	National Association of Dental Laboratories		9610506	J Dent Technol	Dental Prosthesis	National Association of Dental Laboratories (U.S.)	eng	United States
NLM	0746-8962		0746-8962	Trends & techniques in the contemporary dental laboratory.	National Association Of Dental Laboratories	National Association of Dental Laboratories		8409547	Trends Tech Contemp Dent Lab	Laboratories, Dental	National Association of Dental Laboratories (U.S.)	eng	United States
