journalCount	pubName	pubSynonyms	titles	webservers	journalEIssns	journalIssns	uid	countries	languages
1	NLM 		Symposium on Fundamental Cancer Research.			0190-1214	100961284	United States	eng
1	NLM Institution of Mechanical Engineers	Institution of Mechanical Engineers	Engineering in medicine.			0046-2039	0322070	England	eng
1	NLM Zambia Dental Association	Zambia Dental Association	Dental journal of Zambia : official publication of the Zambia Dental Association.			1010-7339	8909577	Zambia	eng
2	NLM Paterson N J	Paterson, N. J	Phlebitis bulletin.|The Bulletin of the Passaic County Medical Society.		|	|0031-2673	19620510R|7507038	United States	eng
2	NLM Catholic Health Association of the United States	Catholic Health Assn. of the United States|Catholic Health Association of the United States	Health progress.|Hospital progress.		|	0882-1577|0018-5817	8500263|0374656	United States	eng
5	NLM University Park	University Park Press	International review of physiology.|Advances in sex hormone research.|IRCS journal of international research communications.|Recent advances in studies on cardiac structure and metabolism.|Progress in pediatric surgery.		||||	0363-3918|0098-0137|0300-5569|0363-5872|0079-6654	7608349|7504908|7505550|0325677|9814248	United States|Germany	eng
2	NLM der Zeitschrift für Naturforschung	Verlag der Zeitschrift für Naturforschung	Zeitschrift für Naturforschung. C, A journal of biosciences.|Zeitschrift für Naturforschung. Teil B: Chemie, Biochemie, Biophysik, Biologie.	znaturforsch.com	1865-7125|	0939-5075|0044-3174	8912155|0364315	Germany	eng
1	NLM Duke University School of Law	Duke University School of Law	Duke law journal.			0012-7086	9877769	United States	eng
2	NLM Annals	Annals Publishing Co	The Annals of otology, rhinology & laryngology. Supplement.|The Annals of otology, rhinology, and laryngology.		|	0096-8056|0003-4894	1256156|0407300	United States	eng
1	NLM Behringwerke Ag	Behringwerke Ag	Behring Institute Mitteilungen.			0301-0457	0367532	Germany	eng
1	NLM New South Wales Nurses Association	New South Wales Nurses Association	The Lamp.			0047-3936	0015376	Australia	eng
1	NLM British Columbia Medical Association	British Columbia Medical Assn	British Columbia medical journal.			0007-0556	0376326	Canada	eng
1	NLM Optometric Historical Society	Optometric Historical Society	Hindsight : newsletter of the Optometric Historical Society.				9431605	United States	eng
1	NLM Medical Advisory Secretariat	Medical Advisory Secretariat	Ontario health technology assessment series	hqontario.ca	1915-7398		101521610	Canada	eng
1	NLM Family Health Magazine	Family Health Magazine	Family health.			0014-7249	7610780	United States	eng
1	NLM Washington University School of Dentistry	Washington University School Of Dentistry	Washington University dental journal.			0049-6936	21610550R	United States	eng
1	NLM Recovery inc	Recovery, inc	Recovery journal.				20030240R	United States	eng
2	NLM Liverpool	Liverpool	Sphincter.|The Liverpool medico-chirurgical journal.		|	|	20940070R|18331090R	England	eng
2	NLM Kansas Medical Society	Kansas Medical Society	Kansas medicine : the journal of the Kansas Medical Society.|The Journal of the Kansas Medical Society.		|	8755-0059|0022-8699	8501226|7505612	United States	eng
1	NLM Australian Society of Anaesthetists	Australian Society of Anaesthetists	Anaesthesia and intensive care.	aaic.net.au	1448-0271	0310-057X	0342017	Australia	eng
1	NLM AJOS	A.J.O.S	The American journal of orthopedic surgery.			0065-9002	7611912	United States	eng
1	NLM Catholic Hospital Association of India	Catholic Hospital Association of India	Medical service.			0008-8102	0221461	India	eng
1	NLM Orthodontike Etaireia Ellados (Greek Orthodontic Society	Orthodontike Etaireia Ellados (Greek Orthodontic Society)	Orthodontikē epitheōrēsē : epiotēmoniko periodiko tēs Orthodontikēs Etaireias tēs Ellados			1105-204X	9108787	Greece	gre
1	NLM Jordanian Dental Association	Jordanian Dental Association	Majallat Niqābat Attibā' al-Asnān al-Urdunīyah.				7507213	Jordan	eng
1	NLM Udruz̆enje ortodonata Saveza lekarskih drus̆tava Jugoslavije	Udruz̆enje ortodonata Saveza lekarskih drus̆tava Jugoslavije	Bilten Udruz̆enja ortodonata Jugoslavije = Bulletin of Orthodontic Society of Yugoslavia.			0350-1043	9005846	Serbia	hrv
2	NLM Samākom Phayābān hāeng Prathēt Thai	Samākom Phayābān hāeng Prathēt Thai	Thai journal of nursing.|Chot mai hēt kān phayābān.		|	0125-0078|0125-0035	7605750|7605561	Thailand	eng
1	NLM Central Institute for Labor Protection National Research Institute	Central Institute for Labor Protection, National Research Institute	International journal of occupational safety and ergonomics : JOSE.	ciop.pl		1080-3548	9507598	Poland	eng
1	NLM Aids Health Project University of California San Francisco	Aids Health Project, University of California, San Francisco	Focus : a guide to AIDS research.	ucsf-ahp.org		1047-0719	8911231	United States	eng
1	NLM Instituto De Antibioticos	Instituto De Antibioticos	Revista do Instituto de Antibióticos, Universidade Federal de Pernambuco.			0080-0228	7507483	Brazil	por
1	NLM Hospital Infection Control	Hospital Infection Control	Hospital infection control.			0098-180X	7507137	United States	eng
1	NLM Association for Practitioners in Infection Control	Assn. for Practitioners in Infection Control	APIC.			0161-8717	7804271	United States	eng
1	NLM Patient Focused Care Association	Patient Focused Care Association	Review			1063-1356	9601257	United States	eng
1	NLM Edinburgh Dental Hospital	Edinburgh Dental Hospital	Edinburgh Dental Hospital gazette.			0013-0907	7506567	Scotland	eng
1	NLM Vaudens Switzerland	Vaudens, Switzerland	Scientific review.				17220170R	Switzerland	eng
1	NLM St Anthony Hospital	St. Anthony Hospital Publications	Hospital guest relations report.			0899-8957	8802247	United States	eng
1	NLM Council for Social Action of the Congregational Christian Churches	Council for Social Action of the Congregational Christian Churches	Social action.			0037-7635	20810050R	United States	eng
1	NLM JMIR	JMIR Publications	Journal of medical Internet research	jmir.org	1438-8871	1439-4456	100959882	Canada	eng
1	NLM American Cleft Palate Association	American Cleft Palate Association	The Cleft palate journal.			0009-8701	0372737	United States	eng
1	NLM Universidad Nacional De Cordoba Facultad De Odontologia	Universidad Nacional De Cordoba. Facultad De Odontologia	Revista Odontologica; Facultad De Odontologia, Universidad Nacional De Cordoba.			0035-0257	9875633	Argentina	spa
1	NLM University of Naples Federico II Faculty of Veterinary Medicine Department of Pathology and Animal Health	University of Naples Federico II, Faculty of Veterinary Medicine, Department of Pathology and Animal Health	Geospatial health.	geospatialhealth.unina.it	1970-7096	1827-1987	101302943	Italy	eng
