seqType	mutType	patName	pat
dna	del		{sep}c\.{fromPos}_{toPos}del{origDna}+
dna	ins		{sep}c\.{fromPos}_{toPos}ins{origDna}+
prot	del		{sep}p\.{fromPos}_{toPos}del{origAaShort}+
prot	ins		{sep}p\.{fromPos}_{toPos}ins{dna}+
prot	sub		{sep}p\.\(?{origAaShort}{pos}{mutAaShort}{fs}
prot	sub		{sep}{origAaShort}{pos}{mutAaShort}
prot	sub		{sep}{origAaLong}{pos}{mutAaLong}
prot	sub		{sep}p\.\(?{origAaLong}{pos}{mutAaLong}{fs}
prot	sub	11005141	{origAaLong}\u2192{mutAaLong}
dna	sub		substitution of {origDna} by {mutDna} at nucleotide position [^0-9]{{0,3}}{pos}
dna	del	10083731	deletion of nt{pos}{origDna}
dna	sub	c.123T>A	{sep}c\.{pos}{origDna}>{mutDna}
dna	sub	c.123TrA (r is ->, ocr error)	{sep}c\.{pos}{origDna}r{mutDna}
dna	sub	c.123T(RIGHT ARROW)2192A	{sep}c\.{pos}{origDna}\u2192{mutDna}
#dna	sub	10090526	codon {pos} {origCodon}-{mutCodon}
#dna	sub	11005141	{origCodon}\u2192{mutCodon}
prot	sub	MF_WRESPPOS-->MRES	{sep}{origAaLong}{pos}-->{mutAaLong}
prot	sub	MF_WRESPPOS to MRES	{sep}{origAaLong}{pos} to {mutAaLong}
prot	sub	MF_WRES-PPOS to MRES	{sep}{origAaLong}-{pos} to {mutAaLong}
prot	sub	MF_WRES PPOS to MRES	{sep}{origAaLong} {pos} to {mutAaLong}
prot	sub	MF_WRES-PPOS-->MRES	{sep}{origAaLong}-{pos}-->{mutAaLong}
prot	sub	MF_WRESPPOS----MRES	{sep}{origAaLong}{pos}----{mutAaLong}
prot	sub	MF_WRES-PPOS-MRES	{sep}{origAaLong}-{pos}-{mutAaLong}
prot	sub	MF_WRESPPOS-MRES	{sep}{origAaLong}{pos}-{mutAaLong}
prot	sub	MF_WRES for MRES at position PPOS	{sep}{origAaLong} for {mutAaLong} at position {pos}
prot	sub	MF_WRESPPOS by MRES	{sep}{origAaLong}{pos} by {mutAaLong}
prot	sub	MF_WRESPPOS --> MRES	{sep}{origAaLong}{pos} --> {mutAaLong}
prot	sub	MF_PPOS WRES-->MRES	{sep}{pos} {origAaLong}-->{mutAaLong}
prot	sub	MF_WRES-PPOS by MRES	{sep}{origAaLong}-{pos} by {mutAaLong}
prot	sub	MF_WRESPPOS with MRES	{sep}{origAaLong}{pos} with {mutAaLong}
prot	sub	MF_WRES PPOS MRES	{sep}{origAaLong} {pos} {mutAaLong}
prot	sub	MF_WRES(PPOS)MRES	{sep}{origAaLong}\({pos}\){mutAaLong}
prot	sub	MF_WRES-PPOS----MRES	{sep}{origAaLong}-{pos}----{mutAaLong}
