title	publisher	urls	eIssn	pIssn	organisation	articleCount
AAP Grand Rounds	American Academy of Pediatrics 	http://www.aap.org 	Unknown	1099-6605 	American Academy of Pediatrics 	2014
AAP News	American Academy of Pediatrics 	http://www.aap.org 	1556-3332 	1073-0397 	American Academy of Pediatrics 	14234
AAP Policy	American Academy of Pediatrics 	http://www.aap.org 	Unknown	Unknown	American Academy of Pediatrics 	N/A 
Accounting History	SAGE Publications 	http://www.sagepub.co.uk  	1749-3374 	1032-3732 	Unknown	475
ACCP/AAP Pediatric Pulmonary Board Review	    American College of Chest Physicians 	   http://www.chestnet.org/accp/   	Unknown	Unknown	American College of Chest Physicians 	32
ACCP Critical Care Board Review	American College of Chest Physicians 	http://www.chestnet.org/accp/ 	Unknown	Unknown	American College of Chest Physicians 	36
ACCP Pulmonary Board Review	American College of Chest Physicians 	http://www.chestnet.org/accp/ 	Unknown	Unknown	American College of Chest Physicians 	44
ACCP Sleep Medicine Board Review	American College of Chest Physicians 	http://chestnet.org/accp 	Unknown	Unknown	American College of Chest Physicians 	30
Acta Biochimica et Biophysica Sinica	Oxford University Press 	http://www.oxfordjournals.org 	1745-7270 	1672-9145 	Institute of Biochemistry and Cell Biology, CAS 	1018
Acta Radiologica	Royal Society of Medicine Press 	http://www.rsmjournals.com 	1600-0455 	0284-1851 	Nordic Society of Medical Radiology 	2626
Acta Radiologica Short Reports						
Acta Sociologica	SAGE Publications 	http://www.sagepub.co.uk 	1502-3869 	0001-6993 	Scandinavian Sociological Association 	2153
Action Research	SAGE Publications 	http://www.sagepub.co.uk 	1741-2617 	1476-7503 	Unknown	243
Active Learning in Higher Education	SAGE Publications 	http://www.sagepub.co.uk 	1741-2625 	1469-7874 	Institute for Learning and Teaching in Higher Education (ILT) 	282
Acupuncture in Medicine	BMJ Publishing Group Ltd 	http://group.bmj.com 	1759-9873 	0964-5284 	BMJ Publishing Group Ltd 	1358
Adaptation	Oxford University Press 	http://www.oxfordjournals.org 	1755-0645 	1755-0637 	Oxford University Press 	61
Adaptive Behavior	SAGE Publications 	http://www.sagepub.co.uk 	1741-2633 	1059-7123 	International Society of Adaptive Behavior 	428
Administration & Society	SAGE Publications 	http://www.sagepub.com 	1552-3039 	0095-3997 	Unknown	1207
Administrative Science Quarterly	SAGE Publications 	http://www.sagepub.com 	Unknown	0001-8392 	Johnson Graduate School, Cornell University 	888
Adult Education Quarterly	SAGE Publications 	http://www.sagepub.com 	1552-3047 	0741-7136 	American Association for Adult and Continuing Education 	2443
Advances in Dental Research	SAGE Publications 	http://www.sagepub.com 	1544-0737 	0895-9374 	International & American Associations for Dental Research 	766
Advances in Developing Human Resources	SAGE Publications 	http://www.sagepub.com 	1552-3055 	1523-4223 	Academy of Human Resource Development 	531
Advances in Nutrition: An International Review Journal	The American Society for Nutrition  	http://www.nutrition.org  	2156-5376 	Unknown	The American Society for Nutrition  	104
Advances in Physiology Education	The American Physiological Society 	http://www.the-aps.org 	1522-1229 	1043-4046 	The American Physiological Society 	941
Advances in Psychiatric Treatment	The Royal College of Psychiatrists 	http://www.rcpsych.ac.uk 	1472-1481 	1355-5146 	The Royal College of Psychiatrists 	1269
Aesthetic Surgery Journal						
Affilia	SAGE Publications 	http://www.sagepub.com 	1552-3020 	0886-1099 	Unknown	1577
African Affairs	Oxford University Press 	http://www.oupjournals.org 	1468-2621 	0001-9909 	Unknown	10209
Age and Ageing	Oxford University Press 	http://www.oupjournals.org 	1468-2834 	0002-0729 	Unknown	7393
Alcohol and Alcoholism	Oxford University Press 	http://www.oupjournals.org 	1464-3502 	0735-0414 	Unknown	4235
Alternatives: Global, Local, Political	SAGE Publications 	http://www.sagepub.com 	Unknown	0304-3754 	Unknown	157
American Behavioral Scientist	SAGE Publications 	http://www.sagepub.com 	1552-3381 	0002-7642 	Unknown	4535
American Educational Research Journal	SAGE Publications 	http://www.sagepub.com 	1935-1011 	0002-8312 	American Educational Research Association  	1990
