"HgeneSymbol","TgeneSymbol","diseaseName","pubmedIds"
"PML","RARA","acute myeloid leukemia (AML)","17688368"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","17688368"
"CBFB","MYH11","acute myeloid leukemia (AML)","17688368"
"RUNX1","RUNX1T1","acute myelogenous leukaemia","17898786"
"RUNX1","RUNX1T1","acute myelogenous leukaemia","17898786"
"ETV6","RUNX1","acute lymphoblastic leukemia (ALL)","17889709"
"ETV6","RUNX1","acute lymphoblastic leukemia (ALL)","17889709"
"SSX1","SYT1","synovial sarcoma (SS)","15500711"
"EWSR1","FLII","synovial sarcoma (SS)","15500711"
"COL1A1","PDGFB","synovial sarcoma (SS)","15500711"
"PML","RARA","acute promyelocytic leukemia(APL)","11120332"
"RUNX1","RUNX1T1","acute promyelocytic leukemia(APL)","11120332"
"RUNX1","RUNX1T1",,"18297529"
"CBFB","MYH11",,"18297529"
"RUNX1","MECOM","acute myeloid leukemia, chronic myelogenous leukemia","16140925"
"RUNX1","RUNX1T1","acute myeloid leukemia, chronic myelogenous leukemia","16140925"
"PML","RARA","acute myeloid leukemia, chronic myelogenous leukemia","16140925"
"RUNX1","RUNX1T1","acute myeloid leukemia (AML)","17657222"
"ASPSCR1","TFE3","Alveolar soft part sarcoma (ASPS)","18176180"
"NPM1","ALK","Anaplastic large cell lymphoma (ALCL)","11395396"
"ATIC","ALK","Anaplastic large cell lymphoma (ALCL)","11395396"
"ABL1","NUP214","Tcell acute lymphoblastic leukemia (TALL)","17488685"
"ETV6","RUNX1","acute lymphoblastic leukemia (ALL)","17277849"
"BCR","JAK2","acute myeloid leukemia (AML)","18503828"
"BCR","ABL1","chronic myeloid leukemia (CML), acute myeloid leukemia (AML)","17286448"
"PML","RARA","chronic myeloid leukemia (CML), acute myeloid leukemia (AML)","17286448"
"NUMA1","RARA","chronic myeloid leukemia (CML), acute myeloid leukemia (AML)","17286448"
"ZBTB16","RARA","chronic myeloid leukemia (CML), acute myeloid leukemia (AML)","17286448"
"CBFB","MUTYH","chronic myeloid leukemia (CML), acute myeloid leukemia (AML)","17286448"
"RAD51L1","BMP2",,"15942943"
"C15ORF55","BRD4",,"17934517"
"BRD3","C15ORF55",,"17934517"
"SNAP91","MLLT10","TALL","16572206"
"RUNX1","RUNX1T1","acute myeloid leukaemia (AML)","11167739"
"CBFB","MYH11","acute myeloid leukaemia (AML)","11167739"
"BCR","ABL1","chronic myelogenous leukemia (CML), acute myeloid leukemia (AML)","16393682"
"CBFB","MYH11","chronic myelogenous leukemia (CML), acute myeloid leukemia (AML)","16393682"
"CBFB","MYH11","acute myeloid leukemia (AML)","17063086"
"CBFB","MYH11","acute myeloid leukemia (AML)","15585652"
"TMPRSS2","ERG","prostate cancer","18172298"
"TMPRSS2","ETV5","prostate cancer","18172298"
"SLC45A3","ETV5","prostate cancer","18172298"
