object	size
journalFiles:Clinical Oncology (Royal College of Radiologists (Great Britain)	2
journalBytes:European Journal of Organic Chemistry	147397
journalBytes:Population Studies	255678
journalBytes:Journal of Evaluation in Clinical Practice	525285
journalFiles:AIDS and Behavior	92
journalFiles:Mediterranean Journal of Hematology and Infectious Diseases	234
journalFiles:Clinical Epidemiology	142
journalFiles:Mind, Brain and Education	2
journalFiles:Journal of Veterinary Science	456
journalFiles:Journal of Gastroenterology and Hepatology	2
journalBytes:World journal of emergency surgery : WJES	630052
journalBytes:Gastroenterology Research and Practice	11251333
journalBytes:Psychoanalytic Psychotherapy	42392
journalFiles:Current Signal Transduction Therapy	1
journalBytes:Philosophical Studies	80587
journalBytes:Psychotherapy Research	70889
journalBytes:Fish & Shellfish Immunology	52406
journalBytes:International Journal of Pharmaceutics	131478
journalFiles:Magnetic Resonance in Chemistry 	1
journalFiles:Virus Genes	16
journalFiles:Journal of Tissue Engineering and Regenerative Medicine	2
journalFiles:Archives of Orthopaedic and Trauma Surgery	48
journalFiles:Medical Engineering & Physics	1
journalFiles:Pediatric Rheumatology Online Journal	983
journalBytes:Annals of Oncology	3391366
journalBytes:Journal of Neurochemistry	2043370
journalBytes:Obesity Reviews	603600
journalFiles:Journal of Trauma & Dissociation	1
journalBytes:Modern Pathology	711423
journalFiles:Urological Research	8
journalFiles:Clinical Immunology (Orlando, Fla.)	6
journalFiles:Child & Adolescent Social Work Journal 	1
journalBytes:Clinical Transplantation	110754
journalBytes:International Journal of Obesity (2005)	2494839
journalBytes:Journal of Rational-Emotive and Cognitive-Behavior Therapy	194919
journalBytes:World Journal of Emergency Surgery : WJES	5089867
journalBytes:Journal of Psychosomatic Research	315495
journalBytes:Pediatric Pulmonology	61300
journalFiles:Journal of Child Language	2
journalBytes:Dynamic Medicine	466952
journalBytes:Korean Journal of Radiology	22276626
journalBytes:Archives of Public Health	2387322
journalFiles:Vacuum	1
journalFiles:Journal of Ethnopharmacology	2
journalBytes:Scandinavian Journal of Gastroenterology	423762
journalBytes:Open Medicine	3737170
journalBytes:Phytotherapy Research	47458
journalBytes:Journal of Biological Inorganic Chemistry	2623996
journalBytes:Indian Journal of Nuclear Medicine : IJNM : The Official Journal of the Society of Nuclear Medicine, India	1092791
journalBytes:International Journal of Methods in Psychiatric Research	119758
journalBytes:Clinical Trials (London, England)	1055627
journalFiles:Research in Pharmaceutical Sciences	73
journalFiles:BMC Biology	1646
journalBytes:The Journal of Medical Humanities	89318
journalFiles:Annals of Occupational Hygiene	33
journalBytes:Pharmanutrition	18605
journalFiles:Reproduction in Domestic Animals = Zuchthygiene	1
journalFiles:Frontiers in Cellular and Infection Microbiology	218
journalFiles:Historical Journal (Cambridge, England)	1
journalFiles:The Journal of Agricultural Science	9
journalFiles:Drug design, development and therapy	66
journalFiles:Scientia Pharmaceutica	188
journalBytes:Neural Systems & Circuits	1031484
journalBytes:Current Oncology	7360592
journalBytes:Journal of Public Economics	69543
journalBytes:Organogenesis	194129
journalFiles:Pathology Research International	184
journalBytes:American Journal of Physiology - Heart and Circulatory Physiology	934280
journalFiles:BMC Family Practice	1107
journalFiles:Chimerism	5
journalFiles:Journal of Biomedicine and Biotechnology	2008
journalBytes:Journal of Plastic Surgery and Hand Surgery	99471
journalBytes:Emotion Review	44533
journalFiles:Animal Behaviour	7
journalBytes:Journal of Cellular Physiology	724115
journalFiles:Journal of cerebrovascular and endovascular neurosurgery	15
journalBytes:Drug Target Insights	1525203
journalFiles:Frontiers in Neuroanatomy	203
journalFiles:Genetics, Selection, Evolution : GSE	1091
journalFiles:DARU : Journal of Faculty of Pharmacy, Tehran University of Medical Sciences	87
journalBytes:Neuropsychology	128075
journalBytes:Community Dentistry and Oral Epidemiology	64701
journalBytes:Iranian Journal of Radiology	1641868
journalBytes:Journal of Microscopy	419969
journalFiles:Journal of Molecular and Cellular Cardiology	41
journalBytes:Mathematical Medicine and Biology	55762
journalFiles:Journal of Toxicology and Environmental Health. Part a	4
journalFiles:Journal of Cardiovascular Disease Research	163
journalFiles:Psychological Bulletin	4
journalBytes:Journal of Occupational Medicine and Toxicology (London, England)	7919837
journalFiles:American Journal of Physiology - Cell Physiology	18
journalFiles:Neuropsychological Rehabilitation	2
journalBytes:Microbiology	8658865
journalBytes:Journal of Breast Cancer	3228222
journalFiles:Schizophrenia Research	18
journalFiles:Indian Dermatology Online Journal	168
journalFiles:Clinical, Cosmetic and Investigational Dermatology : CCID	3
journalBytes:Epidemiologic Perspectives & Innovations : EP+I	1545396
journalFiles:Current HIV Research	20
journalFiles:Talanta	3
journalBytes:Molecular & Cellular Proteomics : MCP	123189346
journalFiles:Scandinavian Journal of Food &#x0026; Nutrition	26
journalFiles:Biocatalysis and Biotransformation	1
journalFiles:Journal of Zoology (London, England : 1987)	3
journalBytes:Progress in Palliative Care	34354
journalBytes:The Gerontologist	110584
journalBytes:Toxins	20506730
journalFiles:Kidney International	66
journalBytes:Philosophical Explorations	62494
journalFiles:Molecular Vision	1822
journalBytes:Current Cancer Drug Targets	187178
journalBytes:Progress in Brain Research	66573
journalBytes:Cardiovascular Engineering and Technology	173980
journalFiles:Journal of Immunotoxicology	3
journalFiles:Journal of Electrocardiology	1
journalFiles:Neuropsychology Review	17
journalBytes:Tobacco induced diseases	48692
journalBytes:International Journal of Oral Science	2983286
journalFiles:Wiley Interdisciplinary Reviews. Membrane Transport and Signaling	1
journalFiles:Breast Cancer Research and Treatment	116
journalBytes:Clinical Oral Investigations	2452411
journalFiles:Journal of Physiological Anthropology	36
journalBytes:Journal of Immunotoxicology	127147
journalFiles:Cost Effectiveness and Resource Allocation : C/E	156
journalBytes:Journal of Cultural Economy	84227
journalBytes:Transactions of the Royal Society of Tropical Medicine and Hygiene	769874
journalBytes:Brain and Language	301523
journalBytes:Neural Networks	230634
journalBytes:Cancer gene therapy	1662514
journalFiles:Toxicology International	118
journalBytes:BMC Bioinformatics	1063752035
journalFiles:Social Science & Medicine (1982)	48
journalBytes:Molecular Human Reproduction	2697394
journalBytes:Acta Radiologica (Stockholm, Sweden : 1987)	32110
journalBytes:Current Oncology Reports	146936
journalFiles:Journal of Cardiovascular Electrophysiology	2
mimeTypeBytes:text/plain	3531267224
journalBytes:Journal of Ophthalmology	6419044
journalFiles:Indian Journal of Nuclear Medicine : IJNM : The Official Journal of the Society of Nuclear Medicine, India	88
journalFiles:Current Fungal Infection Reports	4
journalBytes:The American Journal of Gastroenterology	663925
journalBytes:Annals of Intensive Care	5380105
journalFiles:Plant Signaling & Behavior	27
journalBytes:Heart Views : The Official Journal of the Gulf Heart Association	1662473
journalFiles:Strahlentherapie Und Onkologie	2
journalFiles:PLoS ONE	122075
journalBytes:Prevention Science	693864
journalBytes:Journal of Nutrigenetics and Nutrigenomics	58243
journalFiles:Recent Patents on Anti-Cancer Drug Discovery	1
journalFiles:Medicina Oral, Patología Oral y Cirugía Bucal	209
journalBytes:Parkinson's Disease	8841293
journalFiles:Clinical and Molecular Allergy : CMA	66
journalBytes:American Journal of Rhinology & Allergy	65629
journalBytes:Journal of Biotechnology	895911
journalFiles:Neurology International	75
journalFiles:BMC Molecular Biology	1357
journalFiles:Psychiatry Research	10
journalBytes:Frontiers in Synaptic Neuroscience	4220516
journalFiles:The Spine Journal	1
journalBytes:Zoonoses and Public Health	102796
journalFiles:Journal of Thyroid Research	132
journalBytes:Current Psychiatry Reviews	40042
journalFiles:Parasitology	24
articleTypeFiles:discussion	873
journalBytes:Bioengineered	373251
mimeTypeFiles:application/pdf	184922
journalBytes:Journal of Fluorine Chemistry	34440
journalBytes:Indian Pacing and Electrophysiology Journal	8706565
journalFiles:TheScientificWorldJournal	125
journalBytes:Journal of RNAi and Gene Silencing : An International Journal of RNA and Gene Targeting Research	1867320
journalFiles:PLoS Genetics	16061
journalFiles:Experimental & Translational Stroke Medicine	95
journalFiles:Journal of Urban Health : Bulletin of the New York Academy of Medicine	84
journalBytes:Medical Hypotheses	51459
journalFiles:Journal of Neurovirology	8
journalFiles:Cognitive Behaviour Therapy	3
journalBytes:Clinical Kidney Journal	157842
journalBytes:Journal of Experimental Psychology. Learning, Memory, and Cognition	41384
journalBytes:International Journal for Equity in Health	15868358
journalFiles:Journal of Evidence-Based Medicine	1
journalFiles:COMSIG Review	1
journalFiles:International Archives of Allergy and Immunology	1
journalBytes:Journal of the Royal Statistical Society. Series A, (Statistics in Society)	970260
journalBytes:Epidemiology and Infection	1341806
journalBytes:The Journal of antibiotics	239692
journalBytes:Pastoral Psychology	72319
journalFiles:Genome Biology	8606
journalFiles:Psychoneuroendocrinology	8
journalFiles:Frontiers in Neural Circuits	242
journalFiles:Applied Health Economics and Health Policy	2
journalFiles:Journal of Experimental Psychology. Learning, Memory, and Cognition	1
journalBytes:Journal of Child Psychology and Psychiatry, and Allied Disciplines	953032
journalBytes:Nucleus	1525838
journalFiles:The Economic History Review	2
journalFiles:Journal of Medical Systems	10
journalBytes:Acta Myologica	1394541
journalFiles:Yeast (Chichester, England)	55
journalFiles:International Journal of Pharmaceutical Investigation	66
journalFiles:Leukemia Research	17
journalFiles:Research in Developmental Disabilities	4
journalFiles:Journal of Radiation Research	91
journalBytes:Water Quality, Exposure, and Health	62849
journalBytes:Korean Journal of Family Medicine	2024290
journalFiles:Chemistry, an Asian Journal	3
journalFiles:Experimental Diabetes Research	341
journalBytes:Mycotoxin Research	105536
journalFiles:Journal of NeuroEngineering and Rehabilitation	469
journalFiles:Journal of Autism and Developmental Disorders	98
journalFiles:Modern Pathology	25
journalFiles:Journal of Viral Hepatitis	34
journalBytes:Plasmonics (Norwell, Mass.)	417916
journalBytes:Neuropsychological Rehabilitation	84547
journalFiles:Review of Philosophy and Psychology	7
journalFiles:Brain Pathology (Zurich, Switzerland)	33
journalFiles:Preventing Chronic Disease	1120
journalBytes:BMC Medical Imaging	6103406
journalFiles:Cancer Cell	19
journalFiles:Case Reports in Genetics	47
journalBytes:Glycobiology	1364092
journalFiles:The European Journal of Developmental Psychology	1
journalFiles:Current Urology Reports	5
journalFiles:Journal of RNAi and Gene Silencing : An International Journal of RNA and Gene Targeting Research	63
journalBytes:Case Reports in Ophthalmology	2258906
journalFiles:Magma (New York, N.y.)	13
journalBytes:Hec Forum	326636
journalBytes:Case Reports in Ophthalmological Medicine	1100660
journalBytes:BMC Endocrine Disorders	6620888
journalBytes:Journal of the History of the Neurosciences	73532
journalBytes:Dementia and Geriatric Cognitive Disorders EXTRA	3564049
journalBytes:Journal of Biogeography	470695
journalBytes:Geochimica et Cosmochimica Acta	58628
journalBytes:Social Indicators Research	3672544
journalBytes:Journal of Power Sources	51693
journalFiles:The New Phytologist	59
articleTypeFiles:protocol	331
journalBytes:International Journal of Telemedicine and Applications	3786208
journalBytes:Cell & Chromosome	608213
journalBytes:Journal of Neuroendocrinology	1590832
journalBytes:The American Journal of Bioethics	96295
journalFiles:Ethology	2
journalFiles:Biomedical Digital Libraries	26
journalFiles:Food Additives & Contaminants. Part A, Chemistry, Analysis, Control, Exposure & Risk Assessment	21
journalBytes:Chemsuschem	203636
journalBytes:Environmental Microbiology	6869501
journalFiles:Journal of Laboratory Physicians	123
journalFiles:Journal of Antimicrobial Chemotherapy	120
journalBytes:In Vitro Cellular & Developmental Biology	256515
journalBytes:Journal of Gynecological Endoscopy and Surgery	598546
journalBytes:BMC Medical Informatics and Decision Making	34815137
journalFiles:AIDS Research and Treatment	133
journalBytes:Nous (Detroit, Mich.)	67360
journalBytes:Journal of Robotic Surgery	158018
journalFiles:Israel Journal of Health Policy Research	72
journalFiles:Psychology research and behavior management	39
journalFiles:BMC Dermatology	171
journalBytes:The Journal of Eukaryotic Microbiology	34622
totalSizeSupp	17991630369
journalFiles:Current Reviews in Musculoskeletal Medicine	64
journalBytes:Acta Otorhinolaryngologica Italica	3728655
journalBytes:Endeavour	93585
journalFiles:Neurointervention	46
journalBytes:Journal of Clinical Epidemiology	193848
journalBytes:Emergency Medicine Journal : EMJ	319103
journalBytes:Polymer-Plastics Technology and Engineering	23818
journalFiles:Cell Motility and the Cytoskeleton	2
journalFiles:Journal of Structural Biology	40
journalBytes:Journal of Neurogenetics	275611
journalBytes:Frontiers in Neural Circuits	15680168
journalBytes:Anatomy & Cell Biology	2837827
journalBytes:Journal of Cardiothoracic Surgery	15166486
journalBytes:The Indian journal of surgery	12042
journalFiles:Cancer Research and Treatment : Official Journal of Korean Cancer Association	94
journalFiles:ClinicoEconomics and outcomes research : CEOR	16
journalBytes:Annals of Epidemiology	212180
journalBytes:Journal of Proteome Research	38096633
journalFiles:Frontiers in Behavioral Neuroscience	367
journalBytes:Journal of General Internal Medicine	12772604
journalFiles:Computers & Geosciences	1
journalFiles:Critical Reviews in Environmental Science and Technology	1
journalBytes:Experimental Gerontology	354358
journalBytes:Infection, Genetics and Evolution 	28008
journalFiles:Medical History. Supplement	288
journalFiles:Genetics Research	2
journalBytes:Breeding Science	4754694
journalFiles:Cognitive Neuroscience	5
journalFiles:Therapeutics and Clinical Risk Management	643
journalBytes:Food Biophysics	473178
journalBytes:The Journal of Tehran Heart Center	1958288
journalFiles:Matrix Biology	11
journalBytes:Molecular Therapy	2561254
journalFiles:Current Psychiatry Reviews	1
journalFiles:Current Hypertension Reports	16
journalFiles:Journal of Clinical Neurology (Seoul, Korea)	322
journalBytes:Comparative Hepatology	4501211
journalFiles:Social Indicators Research	73
journalFiles:Indian Journal of Pharmaceutical Sciences	680
journalBytes:Iranian Journal of Basic Medical Sciences	2620727
journalBytes:Animal Cells and Systems	46312
journalBytes:Trends in Parasitology	513546
journalFiles:Molecular Imaging and Biology	74
journalFiles:Catalysis Letters	1
journalFiles:The Ulster Medical Journal	4593
journalFiles:National Journal of Maxillofacial Surgery	123
journalBytes:Esophagus	92580
journalBytes:Journal of Minimal Access Surgery	4700430
journalBytes:Work and Stress	124032
journalBytes:Placenta	1111983
journalBytes:DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes	160164214
journalFiles:Chemsuschem	5
journalBytes:Cancer Research and Treatment : Official Journal of Korean Cancer Association	2217581
journalBytes:Journal of Bioethical Inquiry	418971
journalFiles:Proceedings of the Royal Society B: Biological Sciences	331
journalBytes:Mathematical and Computer Modelling of Dynamical Systems	36732
journalFiles:Reviews on Recent Clinical Trials	1
journalFiles:Journal of Experimental Child Psychology	2
journalFiles:Avicenna Journal of Medicine	24
journalBytes:Genes & Nutrition	1945645
journalBytes:Journal of community genetics	14540
journalBytes:Knee Surgery, Sports Traumatology, Arthroscopy	2768129
journalFiles:Journal of Analytical Methods in Chemistry	65
journalFiles:Acta Materialia	6
journalBytes:Free Radical Research	163804
journalBytes:Nutrition (Burbank, Los Angeles County, Calif.)	718520
journalFiles:Zoonoses and Public Health	1
journalFiles:Journal of Children's Orthopaedics	21
journalBytes:Journal of Antimicrobial Chemotherapy	3316712
journalBytes:Heart Rhythm	394707
journalBytes:Journal of the American Oil Chemists' Society	473209
journalBytes:Primates; Journal of Primatology	314923
journalFiles:Molecular & Cellular Proteomics : MCP	443
journalBytes:Open Biology	3142232
journalFiles:Haemophilia	1
journalFiles:Developmental Cognitive Neuroscience	2
journalFiles:The Journal of Physiological Sciences	7
journalFiles:Annals of Biomedical Engineering	105
journalBytes:International Archives of Occupational and Environmental Health	2723115
journalBytes:Current Directions in Psychological Science	23851
journalFiles:Heart and Vessels	1
journalBytes:Parasitology Research	1764900
journalBytes:Journal of Negative Results in Biomedicine	3814458
journalFiles:Brain Stimulation	2
journalFiles:Human Psychopharmacology	3
journalBytes:Molecular therapy : the journal of the American Society of Gene Therapy	104160
journalBytes:Bionanoscience	36790
journalBytes:Bioinorganic chemistry and applications	401070
journalFiles:Forensic Toxicology	1
journalFiles:International Journal of Analytical Chemistry	84
journalBytes:Journal of Organometallic Chemistry	82916
journalBytes:Investigative Genetics	2826211
journalBytes:International journal of impotence research	72612
journalBytes:Computer Physics Communications	275475
articleTypeFiles:obituary	177
journalFiles:Journal of Toxicologic Pathology	137
journalFiles:Fems Microbiology Reviews	35
journalFiles:Journal of Automated Methods and Management in Chemistry	200
journalFiles:European Journal of Drug Metabolism and Pharmacokinetics	2
journalBytes:Public Health Nutrition	227862
journalFiles:Neural Plasticity	385
journalBytes:BioResearch Open Access	1908301
journalBytes:Nature genetics	51284742
journalBytes:Pain	1148809
journalBytes:International Journal of Circumpolar Health	3405617
journalFiles:Journal of Genetic Counseling	8
journalBytes:Journal of Insect Behavior	325550
journalFiles:BMC Complementary and Alternative Medicine	1453
journalBytes:Research in Higher Education	92617
journalFiles:Probiotics and Antimicrobial Proteins	2
journalFiles:Journal of Fluorine Chemistry	1
journalBytes:Journal of Cystic Fibrosis	44003
journalFiles:Tissue Antigens	6
journalBytes:Biomass & Bioenergy	173218
journalBytes:International Journal of Epidemiology	6699539
journalBytes:Gut and Liver	5623895
journalFiles:Current Microbiology	27
journalBytes:ACS Chemical Neuroscience	1503939
journalFiles:The Journal of Systems and Software	2
journalBytes:International Journal of Stomatology & Occlusion Medicine	14930
journalBytes:Tropical Animal Health and Production	1012382
journalFiles:Arthritis Research & Therapy	3609
journalBytes:Local and regional anesthesia	1101688
journalBytes:Journal of Clinical Virology	122598
journalBytes:ASN NEURO	7162367
journalBytes:Schizophrenia Research	709186
journalBytes:Cardiovascular Engineering (Dordrecht, Netherlands)	203578
journalFiles:Journal of Thrombosis and Haemostasis 	14
journalBytes:International Journal of Immunogenetics	267543
journalBytes:Current Rheumatology Reviews	75444
