mrna	4366
encoding	3684
cdna	3448
encodes	3400
anti	3301
mutations	3027
locus	2893
mutation	2851
keywords	2683
mutant	2643
transcript	2552
overexpression	2491
transcripts	2486
coding	2485
induced	2483
localization	2335
mediated	2312
chromosome	2264
binds	2256
encoded	2255
interacts	2222
decreased	2210
deletion	2202
primers	2182
variants	2166
regulated	2147
receptor	2125
regulates	2121
endogenous	2071
exon	2057
variant	2050
activation	1963
analyzed	1958
localized	1952
homolog	1941
pathway	1906
transfected	1899
allele	1894
amino	1881
interact	1850
mutants	1847
recombinant	1843
tagged	1805
accession	1798
2004	1779
bind	1770
genomic	1761
mammalian	1759
deficient	1752
regulate	1722
exons	1717
2006	1716
primer	1707
2005	1699
genbank	1699
2003	1692
purified	1688
2001	1687
inhibits	1685
2007	1683
plasmid	1674
domains	1662
2002	1661
cloned	1652
abbreviations	1633
putative	1612
signaling	1600
staining	1594
induces	1588
predicted	1584
vitro	1582
designated	1575
knockdown	1570
isoform	1570
constructs	1567
polyclonal	1563
alleles	1555
phenotype	1549
subunit	1545
1999	1543
clone	1535
assay	1532
knockout	1531
mutated	1527
vector	1524
targeting	1516
2008	1513
polymorphisms	1503
kinase	1503
homologue	1501
inhibited	1487
amplified	1486
1998	1484
residues	1477
actin	1465
isoforms	1456
sequencing	1435
labeled	1433
vivo	1430
polymorphism	1413
loci	1398
termed	1393
exhibited	1389
overexpressed	1386
terminus	1385
mrnas	1384
peptide	1378
reverse	1375
homology	1372
markers	1360
murine	1349
homologous	1336
terminal	1331
fold	1331
conserved	1331
amplification	1323
activated	1321
yeast	1319
characterized	1318
complexes	1318
2009	1315
upregulation	1311
tumor	1309
promotes	1309
1997	1306
sirna	1303
induce	1294
characterization	1281
snps	1276
inhibit	1275
intron	1269
interacting	1257
marker	1255
nucleotide	1251
contributes	1234
transcriptional	1234
null	1229
downregulation	1227
downstream	1227
genotype	1224
upregulated	1223
regulating	1217
overexpressing	1214
additionally	1211
mediates	1206
clones	1199
transfection	1197
inhibitor	1196
2010	1195
associates	1182
alpha	1179
1996	1173
phosphorylation	1169
upstream	1165
exhibit	1161
correlated	1149
implicated	1148
probes	1141
truncated	1138
cdnas	1134
activates	1134
gapdh	1134
regulator	1128
according	1123
apoptosis	1115
specificity	1108
encode	1107
omim	1104
assays	1101
heterozygous	1100
silencing	1097
beta	1097
decreases	1091
metabolism	1090
homozygous	1082
cannot	1058
elevated	1058
sapiens	1056
plasmids	1054
screening	1050
monoclonal	1049
exhibits	1045
pathways	1041
enhances	1039
suppression	1035
fused	1035
antisense	1034
motif	1033
blot	1031
degradation	1022
inactivation	1022
genotypes	1005
mapped	1005
activate	1004
depletion	1002
detectable	1001
localizes	996
targeted	996
cloning	985
receptors	981
substrate	981
suppressed	975
homo	972
