P13746	MHC class I antigen A 11|HLA class I histocompatibility antigen A-11 alpha chain
P30455	HLA class I histocompatibility antigen A-36 alpha chain|Aw-36|MHC class I antigen A 36
Q29940	MHC class I antigen B 59|HLA class I histocompatibility antigen B-59 alpha chain
Q5TYW2	Ankyrin repeat domain-containing protein 20A1
Q9BTE6	Alanyl-tRNA synthetase domain-containing protein 1|Alanyl-tRNA editing protein Aarsd1
Q9NP78	ATP-binding cassette transporter 9|TAP-like protein|ATP-binding cassette sub-family B member 9
Q7L211	Abhydrolase domain-containing protein 13|Alpha beta hydrolase domain-containing protein 13
Q86TX2	CTE-Ib|Long chain acyl-CoA thioester hydrolase|Acyl-coenzyme A thioesterase 1|Acyl-CoA thioesterase 1|CTE-I|Inducible cytosolic acyl-coenzyme A thioester hydrolase
Q4G176	Acyl-CoA synthetase family member 3 mitochondrial
O00116	Aging-associated gene 5 protein|Alkyl-DHAP synthase|Alkylglycerone-phosphate synthase|Alkyldihydroxyacetonephosphate synthase peroxisomal
Q8NFM4	ATP pyrophosphate-lyase 4|Adenylate cyclase type 4|Adenylate cyclase type IV|Adenylyl cyclase 4
P08319	Alcohol dehydrogenase 4|Alcohol dehydrogenase class II pi chain
P05141	ADP ATP carrier protein fibroblast isoform|ADP ATP carrier protein 2|Solute carrier family 25 member 5|ADP ATP translocase 2|Adenine nucleotide translocator 2
P42568	Protein AF-9|ALL1-fused gene from chromosome 9 protein|Myeloid lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein|YEATS domain-containing protein 3
O95994	Secreted cement gland protein XAG-2 homolog|Anterior gradient protein 2 homolog|hAG-2|AG-2|HPC8
C9JRZ8	Aldo-keto reductase family 1 member B15
P24588	A-kinase anchor protein 79 kDa|cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein|H21|A-kinase anchor protein 5|AKAP-5
Q9UM73	Anaplastic lymphoma kinase|ALK tyrosine kinase receptor
O95076	Homeobox protein aristaless-like 3|Proline-rich transcription factor ALX3
Q9NP70	Ameloblastin
P19021	PAM|Peptidyl-glycine alpha-amidating monooxygenase
Q6DCA0	AMMECR1-like protein
Q9BXJ7	Protein amnionless
Q01433	AMP deaminase 2|AMP deaminase isoform L
A5PLL1	Ankyrin repeat domain-containing protein 34B
E9PGG2	Anomalous homeobox protein
Q68DC2	Ankyrin repeat and SAM domain-containing protein 6|SamCystin|Ankyrin repeat domain-containing protein 14|Sterile alpha motif domain-containing protein 6
Q6UB98	GAC-1 protein|Ankyrin repeat domain-containing protein 12|Ankyrin repeat-containing cofactor 2
O76027	Annexin XXXI|Annexin-9|Annexin A9|Annexin-31|Pemphaxin
O00203	Adaptor protein complex AP-3 subunit beta-1|Adapter-related protein complex 3 subunit beta-1|AP-3 complex subunit beta-1|Beta-3A-adaptin|Clathrin assembly protein complex 3 beta-1 large chain
O95996	Adenomatous polyposis coli protein 2|Adenomatous polyposis coli protein-like
P25054	Adenomatous polyposis coli protein|Protein APC|Deleted in polyposis 2 5
P02749	Beta-2-glycoprotein 1|APC inhibitor|Apolipoprotein H|Anticardiolipin cofactor|Activated protein C-binding protein|Beta-2-glycoprotein I
Q8IVJ8	AP20 region protein 1
P55064	AQP-5|Aquaporin-5
Q6UW56	p18|All-trans retinoic acid-induced differentiation factor|Apoptosis-related protein 3
Q12774	Oncogene TIM|Rho guanine nucleotide exchange factor 5|Ephexin-3|p60 TIM|Transforming immortalized mammary oncogene|Guanine nucleotide regulatory protein TIM
Q96BM9	ADP-ribosylation factor-like protein 8A|Novel small G protein indispensable for equal chromosome segregation 2|ADP-ribosylation factor-like protein 10B
Q8IUR7	Armadillo repeat-containing protein 8
Q7L311	ARM protein lost in epithelial cancers on chromosome X 2|Armadillo repeat-containing X-linked protein 2
Q9H981	Actin-related protein 8|hArp8|INO80 complex subunit N
P51689	Arylsulfatase D|ASD
Q13510	Acid ceramidase|Putative 32 kDa heart protein|N-acylsphingosine amidohydrolase|Acylsphingosine deacylase|Acid CDase|ACDase
